"","X","RECHARGE_VALUE","MIN_RECHARGE_AVG","P2_MADE_CALLS_DURATION","P2_PERC_DAYS_SOCIAL_NETWORK_OTT","PERC_SOCIAL_NETWORK_SESSIONS_IN_P1","PERC_INTERNET_SESSIONS_IN_P1","PERC_RECEIVED_CALLS_DURATION_IN_P2","PERC_P4_RECEIVED_CALLS_DURATION_BY_TOTAL","P23_PERC_DAYS_MADE_CALLS_OTT","WEEKDAY_PERC_INTERNET_MB","WEEKEND_HOLYDAY_PERC_SOCIAL_NETWORK_SESSIONS","WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION","AGE"
"1",0,440,46.67,174,93.98,8,9,43,9,70.11,18.98,21.82,0.1,24
"2",1,50,15,83,44.44,11,11,40,13,8,78.8,13.21,0.11,25
"3",2,550,50,186,62.5,24,24,37,7,79.49,18.51,28.74,0,52
"4",3,400,100,432,31.43,6,6,54,1,63.01,26.91,23.55,0.27,52
"5",4,410,70,70,29.03,11,11,19,16,81.01,37.45,25,0.01,47
"6",5,600,100,396,97.62,20,21,48,5,82.35,26,25.78,0.04,33
"7",6,190,20,63,84.09,4,4,51,6,18.18,32.32,12.01,0.47,38
"8",7,55.0996416259969,38.2991824814338,25,0,0,0,43,9,0,0,0,0,27
"9",8,400,100,91,44.16,7,6,50,4,76.19,76.88,23.74,0.52,50
"10",9,550,50,587,36.36,40,40,26,3,79.25,15.06,22.94,0.02,40
"11",10,320,73.33,849,90.91,14,17,51,3,92.31,14.47,23.96,1.18,60
"12",11,461.28063466411,102.414155671253,0,100,28,27,56,19,0,90.86,15.2,0,26
"13",12,650,50,255,85.53,33,35,39,10,64.29,6.15,28.33,0.21,40
"14",13,500,100,316,98.7,13,14,41,5,52.94,59.77,26.86,0.24,31
"15",14,500,100,51,100,25,24,11,4,60,21.91,22.02,0.01,36
"16",15,403.009289976215,94.7945959891949,60,100,0,0,55,4,0,0,0,0,20
"17",16,500,75,121,95.06,21,21,35,6,56.98,11.61,32.49,0.15,38
"18",17,90,30,548,82.35,14,14,57,5,61.11,24.77,28,0.03,31
"19",20,430,60,43,100,25,24,57,7,35,9.65,22.35,0.37,33
"20",23,-135.852539026991,118.84765916684,0,100,24,23,0,0,0,18.26,15.58,0,40
"21",24,550,50,791,100,21,20,35,4,83.91,16.64,23.74,0.12,47
"22",25,400,100,581,26.98,10,7,36,5,82.89,57.94,23.53,0.03,53
"23",26,170,30,153,0,0,0,26,9,83.67,0,0,0,21
"24",28,600,200,267,98.85,16,18,46,9,71.26,22.24,19.4,0.03,24
"25",29,160,10,171,52.63,19,18,31,18,25,99.99,15.83,0,23
"26",30,916.1,40,325,95.12,23,23,47,6,52.33,14.87,21.55,0.57,40
"27",31,400,100,321,53.09,10,11,30,4,98.84,16.19,23.8,1.5,41
"28",32,100,50,77,84.62,5,5,46,7,16.67,4.36,22.69,0.04,47
"29",33,300,100,11,100,17,18,20,9,15.15,24.97,23.11,0,53
"30",34,200,100,40,77.08,21,23,34,10,47.17,6.16,24.8,0.17,33
"31",35,250,50,34,96.67,10,15,20,6,22.92,27.25,20.98,0.04,34
"32",36,630,30,15,100,27,26,37,10,16.09,15.26,23.6,0.26,27
"33",37,360,13.33,130,98.77,2,2,56,7,39.51,9.24,19.76,0.07,30
"34",39,100,50,35,89.66,16,16,35,9,11.76,1.2,20.86,0.32,17
"35",40,400,100,131,83.13,6,6,48,4,77.01,48.3,23.79,0,46
"36",41,570,40,137,75.68,16,16,42,7,34.38,19.06,23.46,0.04,27
"37",43,520,73.33,1115,97.7,22,23,56,3,94.25,17.07,23.24,0.2,43
"38",44,800,50,40,6.67,15,15,32,5,71.79,79.47,0,0,55
"39",45,60,20,190,97.78,23,20,35,8,0,42.44,16.2,0.09,28
"40",46,300,50,885,0,0,0,36,7,81.25,0,0,0,49
"41",47,780,60,96,97.65,24,24,35,14,12.79,10.45,23.44,0.04,61
"42",48,400,50,46,100,24,23,47,10,0,18.36,34.62,0.11,18
"43",50,30,30,0,96.97,18,18,33,21,2.08,34.14,15.9,0.13,50
"44",51,430,40,212,100,20,24,39,5,31.76,20.43,16.74,0.41,17
"45",52,100,100,486,97.96,9,10,46,7,74,49.33,26.03,0.25,21
"46",53,1150,57.5,93,93.33,9,9,66,2,71.05,37.7,24.16,0.37,44
"47",54,300,100,62,88.89,21,19,41,5,60.71,99.69,14.5,0,57
"48",55,400,100,109,65.45,21,21,59,5,49.23,11.6,26.96,0.41,40
"49",56,600,200,64,100,20,23,53,6,62.07,20.83,20.56,0.02,31
"50",57,850,83.33,230,100,24,25,45,4,48.84,99.52,15.09,0,58
"51",58,470,22.5,932,61.82,21,22,37,3,82.76,7.46,16.72,1.61,18
"52",59,620,73.33,380,100,13,12,39,6,72.09,27.25,29.69,0.4,25
"53",60,300,100,187,92.94,11,11,44,6,85.06,46.55,25.16,0.34,48
"54",61,200,50,0,100,26,27,60,20,0,25.03,21.31,0.04,40
"55",63,400,100,26,67.44,24,26,63,9,36.73,98.55,13.55,0.25,59
"56",64,290,40,101,20,2,2,38,3,86.36,50.32,20.99,0.01,45
"57",65,400,100,217,98.85,26,24,57,3,56.32,84.58,18.2,0.16,62
"58",66,300,100,41,8.16,21,22,47,7,65,8.69,16.67,0,65
"59",67,600,200,129,98.85,24,25,35,10,78.16,43.67,27.03,0.06,39
"60",68,360,25,357,67.86,20,23,47,3,65,38.63,27.22,0.03,50
"61",69,190,22.5,32,51.43,13,15,41,6,31.11,100,15.38,0,42
"62",70,100,20,28,55.56,8,8,24,3,63.64,72.71,30.43,0,25
"63",71,89.0438327163691,-1.3240865124437,70,0,0,0,39,8,0,0,0,0,39
"64",72,30,30,21,100,25,24,42,2,4,50.6,16.9,0,40
"65",73,650,65,1578,100,25,25,37,4,90.8,23.86,24.78,0.06,58
"66",74,450,75,16,100,28,27,64,8,20.25,21.07,27.26,0.61,41
"67",75,500,50,286,17.07,16,29,47,8,95.29,99.16,15.71,0,30
"68",76,400,50,14,50,24,23,34,6,38.46,25.61,25,0,52
"69",77,400,50,893,100,13,13,43,3,65.12,24.18,26.65,0.01,49
"70",78,600,200,273,97.47,24,24,51,3,45.88,66.14,22.08,0.25,28
"71",79,1030,41.43,84,83.91,25,25,30,18,62.07,8.72,24.94,0.34,32
"72",80,300,100,1172,100,23,24,48,4,97.7,8.72,25.49,0.02,52
"73",81,400,100,233,54.65,21,21,53,4,93.1,95.11,12.3,0.03,43
"74",82,200,100,24,56.1,25,27,64,6,63.83,27.39,22.88,0,44
"75",83,200,100,193,84.85,5,5,42,7,46.15,15.36,24.43,0.65,45
"76",84,444.195257250446,-13.0335552691182,0,0,0,0,24,3,0,0,0,0,50
"77",85,300,100,103,0,50,50,29,15,79.07,100,0,0,41
"78",86,1290,46.25,113,100,14,15,42,8,64.37,5.14,25.57,0.17,26
"79",87,400,50,337,97.67,19,15,38,11,86.21,10.07,15.01,0.14,33
"80",88,450,75,703,78.21,9,10,49,4,67.07,19.27,25.25,0.07,42
"81",90,720,28.75,242,98.84,23,23,34,9,47.67,10.39,24.67,1.6,21
"82",91,400,100,713,97.7,12,12,38,7,83.91,26.88,28.52,0.48,43
"83",92,400,100,259,96.3,3,3,48,5,69.05,20.45,23.52,0.03,36
"84",93,300,100,89,0,0,0,49,11,57.14,100,0,0,46
"85",94,700,50,93,90.79,13,15,29,9,51.85,18.51,29.74,0.02,27
"86",95,570,42.5,190,91.03,16,16,35,4,96.3,15.53,24.56,0.06,23
"87",96,200,100,161,4.55,17,17,39,4,69.23,90.83,16.67,0,30
"88",98,200,50,21,100,21,20,35,8,3.7,13.46,16.5,0.06,22
"89",99,430,30,275,85.29,10,10,42,4,49.41,20.12,24.04,0.89,25
"90",101,570,60,14,98.68,19,21,36,34,1.32,20.43,16.46,0.04,21
"91",102,380,40,5,100,19,19,23,31,14.81,7.68,23.58,3.96,16
"92",103,580,40,975,97.33,19,20,43,4,80.25,12.08,20.99,0.33,30
"93",104,260,20,93,100,22,23,45,5,22.99,39.3,17.3,0.11,27
"94",105,140,30,405,100,38,34,26,3,16.13,23.12,15.96,0.04,35
"95",106,200,100,319,84.75,24,24,44,8,100,29.14,23.23,0.04,46
"96",107,500,50,195,85.92,17,17,45,6,64.1,7.95,24.2,1.72,30
"97",108,300,18.18,270,11.11,15,14,39,6,76.92,38.63,25.93,0,28
"98",109,700,100,108,88.89,21,22,58,4,60,19.39,22.76,0.28,40
"99",110,400,100,84,89.04,22,24,24,20,55.56,20.63,21.4,0.01,30
"100",111,450,30,149,38.1,8,11,34,12,53.33,79.94,20.54,0.18,34
"101",112,460,47.5,1248,97.7,27,22,45,3,50.57,54.5,18.65,1.1,31
"102",113,130,40,26,88.89,5,6,21,20,17.24,12.41,22.83,0.1,15
"103",114,450,66.67,61,94.03,6,6,31,8,49.33,11.27,21.62,0.05,23
"104",115,500,100,150,88.89,21,22,32,7,77.11,44.62,21.96,0.3,28
"105",117,500,100,161,100,24,24,13,4,75.86,14.12,23.11,0.89,25
"106",118,500,100,757,97.5,23,23,40,5,37.8,24.22,32.69,0.3,44
"107",119,1110,40,658,93.83,21,18,27,10,81.4,31.09,22.58,0.08,42
"108",120,850,50,33,79.31,21,21,32,12,47.95,7.97,23.4,0.04,28
"109",121,540,58,810,81.08,21,20,29,3,70.89,32.11,22.68,1.33,31
"110",122,200,50,31,100,18,21,31,10,1.64,2.95,27.81,0.05,22
"111",123,400,50,228,51.67,30,18,40,3,80.3,34.2,40.24,0.04,39
"112",124,50,50,211,80,2,2,48,3,20.69,6.56,21.43,0.01,33
"113",125,400,100,601,38.27,3,3,49,8,93.1,22.15,24.66,0.03,32
"114",126,549.245764110508,98.1772503736022,92,98.82,21,23,39,13,16.09,22.63,17.38,0.01,21
"115",127,100,100,60,100,13,11,36,8,24.44,21.87,22.19,0.01,17
"116",128,500,36.67,1286,36,20,19,51,2,73.42,82.52,20.25,0,28
"117",129,400,100,112,18,24,23,44,7,65.67,100,14.29,0,65
"118",130,233.867313576023,58.3146224088887,0,100,28,28,0,0,0,34.45,16.61,0,33
"119",131,600,42.5,358,85.71,4,5,38,5,74.7,21.06,27.06,0.01,25
"120",132,100,50,3,82.5,8,8,25,30,20.45,22.3,22.81,0,20
"121",133,300,100,47,100,31,25,43,13,43.75,42.31,20.19,0.21,62
"122",134,440,28,4937,79.52,21,22,41,1,85.06,13.45,22.71,0.16,30
"123",135,350,75,428,54.55,9,9,41,9,72.62,6.95,24.89,0,32
"124",136,170,20,83,70,5,4,28,13,0,100,16.13,0,60
"125",138,410,40,290,91.04,9,10,19,2,40.54,21.12,30.43,0.05,19
"126",139,700,50,225,100,17,17,46,4,77.91,15,24.73,0.18,28
"127",141,580,27.5,65,98.61,26,34,16,10,32.1,36.11,10.08,0.88,33
"128",143,430,76.67,192,0,0,0,34,12,64.18,0,0,0,52
"129",144,400,100,152,98.85,24,23,47,10,51.72,77.35,21.65,0.05,38
"130",146,220,42.5,29,52.94,14,15,51,8,20.69,91.19,24.14,0,30
"131",147,300,100,314,76.09,11,12,37,4,71.7,26.63,24.71,1.55,24
"132",148,340,30,138,89.71,19,18,50,6,43.66,4.18,22.22,0.42,44
"133",149,1060,32.22,1570,92.75,21,21,48,5,63.29,7.42,23.68,1.9,35
"134",150,500,60,672,76.71,15,19,38,5,69.05,19.4,26.98,0.94,19
"135",151,450,50,231,41.03,19,19,45,4,63.46,12.24,23.29,0,60
"136",153,50,50,30,97.44,25,24,17,16,13.64,30.69,24.85,0.01,27
"137",154,480,35.71,457,100,19,17,50,2,30,54.63,13.81,0.3,33
"138",156,230,38.33,46,94.12,29,30,30,14,47.5,55.37,29.32,0.03,31
"139",157,300,100,977,83.78,17,17,44,7,90.79,19.15,25.51,0.69,36
"140",158,70,15,369,96.2,24,19,32,13,19.75,15.8,13.57,0.02,37
"141",159,400,100,48,98.65,17,18,37,21,46.43,24.02,24.75,0.01,21
"142",160,600,20,546,91.67,23,21,28,12,52.33,52.63,15.95,0,26
"143",161,180,10,46,0,0,0,55,8,48.72,0,0,0,41
"144",162,150,150,50,100,20,18,49,0,29.63,49.16,20.53,0.01,45
"145",163,270.710076745915,-0.147690004351759,3,0,0,0,32,8,0,0,0,0,40
"146",164,200,50,152,55.56,14,14,45,4,56,4.86,25.26,0.01,47
"147",165,340,20,185,97.3,19,26,42,12,66.67,12.03,24.3,0.13,43
"148",166,190,20,275,53.85,2,2,32,5,50,31.53,21.7,0.16,19
"149",167,750,75,703,100,25,25,55,1,73.56,12.69,21.25,0,24
"150",168,70,20,0,94.74,15,11,10,10,9.09,84.78,16.67,0,43
"151",171,450,30,150,90.14,16,17,37,5,58.44,26.72,26.47,1.14,16
"152",172,630,15.45,996,97.22,5,6,64,1,41.33,62.38,22.38,0.02,30
"153",174,500,21.43,36,100,18,19,41,17,15.19,48.54,22.79,0.45,19
"154",175,240,30,73,98.78,19,21,39,7,34.94,16.31,17.59,0.57,28
"155",176,260,40,73,96.55,37,32,25,12,10.53,19.04,32.56,0,24
"156",177,50,50,80,100,26,23,38,9,0,13.36,19.95,0,18
"157",178,140,20,59,100,5,6,36,18,13.16,8.14,22.68,0.27,16
"158",179,110,10,73,100,20,20,58,8,3.75,32.21,15.33,0.1,30
"159",180,200,100,468,84.85,7,7,28,8,94.29,32.72,30.71,0.08,19
"160",182,350,25,47,9.76,0,0,57,13,48.15,96.12,15,0,27
"161",183,470,60,67,97.67,26,24,41,7,54.02,58.36,22.7,0.57,25
"162",184,200,100,173,89.19,20,21,31,4,48.72,22.22,23.16,0.42,22
"163",185,290,20,542,96.83,18,18,23,3,69.23,52.76,24.17,0.4,40
"164",186,30,30,18,0,50,40,38,20,92.86,91.56,0,0,57
"165",187,420,73.33,277,87.95,22,22,55,3,81.18,21.69,23.21,0.03,45
"166",188,130,26,45,92.31,20,20,24,11,25,9.22,13.95,0.07,19
"167",189,400,100,466,100,22,21,44,3,45.12,54.61,22.44,0.45,28
"168",190,80,20,12,65,5,4,24,18,41.67,84.62,12.5,0.01,27
"169",191,370,56.67,296,94.59,11,11,40,6,67.95,5.28,18.97,0.11,40
"170",192,620,73.33,427,29.17,20,18,61,4,45.31,0.77,28.57,0,41
"171",194,380,20,65,96.83,21,21,63,3,34.85,23.28,21.6,0.51,59
"172",195,300,100,409,90.16,19,26,38,2,60.61,21.64,19.73,0.37,23
"173",196,420,40,341,0,0,0,44,4,81.13,0,0,0,26
"174",197,620,73.33,226,79.41,18,17,52,6,53.75,33.29,26.04,0.01,39
"175",198,200,100,15,23.53,0,0,82,1,33.33,0,27.03,-0.385847646560502,45
"176",199,350,75,42,98.57,9,9,31,6,25.35,34.46,25.88,0.33,60
"177",200,-357.357781516597,61.0060545849373,110,94.74,27,27,37,4,9.68,98.82,14.53,0,50
"178",201,300,100,269,100,19,20,46,3,47.13,42.64,21.78,0.74,43
"179",202,450,23.75,50,98.61,5,6,43,8,13.58,68.42,20.92,0.02,28
"180",203,690,10,7,0,0,0,46,16,78.75,0,0,0,40
"181",204,1400,83.33,18,100,16,16,31,9,10.71,31.09,23.96,0.91,16
"182",205,400,100,97,100,13,18,60,2,42.35,65.25,27.66,0.09,29
"183",206,300,50,135,91.49,22,22,44,6,82,77.26,13.16,0.07,35
"184",207,370,20,288,96.2,23,23,40,11,58.75,18.64,21.23,0.02,25
"185",208,450,66.67,64,87.27,27,25,30,11,63.93,20.92,27.44,0.88,30
"186",209,30,30,2575,86.21,24,24,48,2,6.45,32.19,16.35,0,32
"187",211,500,100,137,93.75,4,4,33,8,80.23,35.85,23.62,0.03,49
"188",212,150,50,28,100,13,15,57,5,1.89,85.09,16.81,0,27
"189",213,430,65,243,5.56,0,0,31,7,69.81,0,0,0,46
"190",214,400,100,209,97.01,18,19,46,8,89.71,33.05,24.9,0.46,30
"191",215,50,50,21,100,21,21,33,18,66.67,9.47,24.37,0.03,24
"192",216,400,37.5,181,96.08,19,22,40,8,92.16,47.16,16.1,0.06,40
"193",217,200,100,44,0,0,0,37,9,29.27,0,0,0,42
"194",218,190,20,260,100,24,24,44,5,13.64,21.62,15.8,0.15,32
"195",220,400,50,60,88.89,6,6,45,12,50,12.04,27.48,0.01,30
"196",221,50,50,42,100,24,24,38,1,1.23,68.58,16.98,0.07,19
"197",222,170,20,100,95.65,23,13,24,7,38.46,27.12,21.74,0.08,19
"198",223,30,30,62,100,25,24,62,2,3.17,99.22,16.25,0,35
"199",224,220,35,114,97.65,9,10,50,8,65.12,8.71,26.16,0.01,24
"200",225,160,10,225,23.33,7,7,36,3,56.1,26.93,18.18,0,32
"201",226,450,22,19,67.74,11,12,38,19,20.93,38.44,22.17,0.09,20
"202",227,1880,50,513,100,22,22,46,7,56.32,8.06,24.27,0.67,21
"203",229,130,40,198,100,23,22,53,5,32.5,11.25,21.04,0.1,30
"204",230,100,50,233,70.37,17,17,43,2,59.38,13.55,24.7,6.63,45
"205",231,-10.1606546532114,-25.7997589640384,12,0,0,0,100,0,0,0,15.0088028656486,-0.597335116924708,40
"206",232,50,15,88,50,0,0,45,13,28.57,98.07,17.65,0.01,28
"207",234,530,22.5,583,2.63,0,0,45,6,96.34,0,13.33,0,54
"208",235,250,50,84,12.5,0,0,40,8,53.85,0,16.67,0,50
"209",236,600,200,370,98.78,13,13,50,6,77.38,31.38,22.55,1.8,27
"210",237,20,20,324.976848491683,89.2733607889537,0,0,0,0,0,98.28,22.22,-0.448733141451791,22
"211",238,140,30,12,100,2,2,44,12,1.18,10,14.11,0,65
"212",239,160,40,339,95,22,20,37,3,9.09,39.02,15.11,0.09,33
"213",240,550,50,48,100,6,6,40,8,44.83,46.38,28.26,0.08,50
"214",241,700,50,67,97.62,24,23,18,10,26.44,32.89,27.45,0,30
"215",242,336.061772553939,-5.05306023807546,43,69.23,18,18,74,3,5.88,81.86,23.4,0.02,29
"216",243,190,20,14,100,25,24,43,10,11.11,10.23,14.31,0.19,25
"217",244,1090,26.36,36,98.82,11,11,41,15,31.03,12.17,26.67,0.63,20
"218",245,120,20,178,98.8,25,26,38,17,37.35,100,15.91,0,42
"219",246,690,42.5,11,100,25,24,29,21,8.05,3.21,22.47,0.1,40
"220",247,430,56,10,100,22,23,34,18,54,6.15,23.52,0.03,27
"221",248,400,100,112,93.85,14,14,30,9,59.76,41.67,23.08,0.18,25
"222",249,200,100,81,97.5,12,12,49,4,32.1,43.64,23.13,0.16,38
"223",251,520,42.5,596,81.33,20,20,43,4,74.03,14.26,20.17,0.04,30
"224",252,500,50,44,98.11,24,23,45,4,29.82,13.23,22.61,0.18,25
"225",253,1250,32.35,1082,100,7,10,37,4,87.36,16.31,34,0.54,26
"226",254,20,20,1,100,14,13,20,6,0,17.26,16.43,0,36
"227",256,480,36.67,205,100,19,22,68,4,50,16.36,22.14,0.29,22
"228",258,150,50,80,72.73,24,23,33,13,62.32,7.63,22.09,0.47,40
"229",259,500,100,1,0,0,0,41,10,66.67,0,0,0,29
"230",261,1010,50,119,100,21,22,53,5,42.53,10.3,23.61,0.13,42
"231",262,490,21.43,295,98.84,13,14,33,10,58.62,11.06,24.66,1.14,44
"232",263,200,22,108,98.04,11,12,40,13,15.94,54.78,20.57,0.03,26
"233",264,40,20,592,0,0,0,25,3,5.26,0,0,0,44
"234",265,250,20,83,98.33,20,21,49,5,7.69,79.55,12.8,0.03,38
"235",266,560,22.5,123,100,17,18,50,12,39.08,13.81,18.1,0.11,42
"236",267,500,100,2574,89.02,12,15,44,2,80.23,43.77,20.92,0.63,44
"237",268,550,50,265,90,3,3,46,2,79.07,23.11,25.38,0.01,47
"238",269,160,10,30,84.38,15,15,24,10,27.45,74.8,22.76,0.02,56
"239",270,150,50,117,90.74,20,20,45,4,91.07,7.79,23.76,1.16,51
"240",271,130,20,41,0,100,100,47,12,50,0,0,0,43
"241",273,380,35,148,89.09,13,12,45,8,12.7,16.57,23.35,0.27,42
"242",274,410,55,473,92.86,19,18,51,5,95.24,21.65,24.72,0.21,31
"243",275,450,75,704,100,18,20,50,4,82.76,20.9,23.56,0.38,39
"244",276,300,100,588,98.85,18,18,42,8,67.82,55.75,25.95,0.15,37
"245",277,20,20,108,0,0,0,53,5,42.86,0,0,0,34
"246",279,844.01113601745,104.972310798298,9,100,26,27,100,0,66.67,0,24.5230938382707,0.00161049863936136,29
"247",280,160,30,21,97.62,11,11,52,10,13.95,0.66,23.55,0.84,18
"248",283,180,10,52,90.16,13,15,37,8,18.57,19.54,21.09,0.55,33
"249",284,250,50,53,100,23,24,54,7,5.81,12.64,11.77,0.32,39
"250",285,200,100,131,91.46,20,17,46,10,79.07,47.99,13.5,1.6,51
"251",286,810,35,29,100,21,22,30,9,16.09,6.5,24.09,0.16,31
"252",288,400,100,22,94.44,18,17,22,16,40.51,8.59,25.25,1.09,19
"253",290,330,22,34,82.35,24,24,37,11,11.54,26.82,19.77,0.74,42
"254",291,200,50,21,0,0,0,40,16,42.86,0,0,0,55
"255",292,420,42.5,422,0,0,0,53,4,89.23,0,0,0,54
"256",293,360,32.5,24,98.73,15,16,41,15,7.23,15.28,23.77,1.87,20
"257",294,50,50,7,0,0,0,28,24,20,0,0,0,52
"258",295,50,25,163,0,0,0,59,3,28.57,0,0,0,27
"259",296,400,100,129,40.63,12,14,52,3,56.94,51.27,14.05,0.12,55
"260",297,280,30,88,29.63,0,0,46,7,65.79,68.98,18.8,0.01,33
"261",299,100,100,0,83.33,10,12,0,25,36,64.58,20.98,0.05,24
"262",301,500,50,68,96,11,10,26,25,37.5,11.18,27.16,0.1,22
"263",302,280,35,109,70.83,27,25,36,9,50,3.19,24.16,0.11,21
"264",303,850,50,204,90.8,21,21,43,4,89.66,10.03,24.16,0.57,39
"265",304,565.719417546219,48.3079706106988,13,100,32,28,19,28,0,83.82,16.53,0,23
"266",305,60,20,18,100,23,22,63,8,1.45,3.63,17.19,0.13,29
"267",306,400,100,75,30.14,15,11,38,14,82.5,100,13.56,0,34
"268",308,120,35,233,98.33,11,11,59,2,13.33,55.32,20.62,0,40
"269",309,20,10,59,100,15,14,28,3,0,58.74,16.29,0.01,50
"270",310,50,20,6,33.33,0,0,38,16,16.67,15.55,16.67,0,24
"271",311,200,100,7,100,14,14,47,10,38.1,81,15.15,0.04,30
"272",312,360,45,61,76.47,11,11,57,7,27.91,12.2,31.8,0,24
"273",313,610,13.33,91,100,7,7,36,7,19.77,70.61,20.88,0.04,23
"274",314,30,30,2,33.33,22,20,30,6,0,83.66,0,0,19
"275",316,100,50,46,12.5,33,33,33,12,8.33,25.11,16.67,0,40
"276",317,350,75,101,100,23,22,50,9,9.52,95.62,14.83,0.01,58
"277",318,-68.8083135783598,80.7113669600282,30,0,0,0,47,12,0,0,0,0,19
"278",319,200,50,39,91.18,30,31,47,8,19.44,21.89,23.33,0,35
"279",320,600,200,73,85.71,5,5,43,6,23.53,67.18,25.53,0.02,52
"280",321,400,100,460,44.29,22,25,28,9,81.82,15.31,42.08,0,44
"281",322,520,32.5,322,98.55,17,17,30,10,42.11,6.3,22.26,0.22,29
"282",323,370,35,1885,90.48,22,24,53,4,61.9,21.26,24.89,0.18,38
"283",324,510,62,63,98.73,7,6,48,11,28.57,50.73,23.78,0.06,27
"284",325,300,40,61,100,26,20,51,8,3.45,76.59,11.96,0.03,62
"285",326,150,10,241,100,24,23,44,5,2.44,9.9,11.39,0.26,34
"286",327,480,50,27,100,21,23,20,8,13.79,49.12,21.94,0.25,26
"287",329,540,46.67,802,85.37,16,16,45,4,82.76,57.56,24.68,0.02,49
"288",330,540,60,472,97.67,15,15,49,6,74.71,12.97,27.74,0.5,31
"289",331,580,20,179,53.49,15,15,37,13,79.25,87.63,24.49,0,46
"290",335,600,50,377,100,18,19,53,4,72.09,46.66,30.23,0.06,58
"291",336,569.476634469605,15.2396867037982,19,100,13,13,34,9,0,95.54,15.93,0,22
"292",337,100,100,10,95.24,0,0,50,6,29.17,19.89,23.49,0.15,19
"293",338,300,100,75,92.11,29,30,33,12,27.71,26.99,21.55,0.15,35
"294",339,350,26.67,216,94.59,15,16,34,9,29.87,40.77,21.39,0.51,29
"295",340,318.464628352289,37.0175172517549,290.402345625282,31.9355480649672,0,0,0,0,39.1980889102358,0,1.49875024867084,-0.226774560999768,25
"296",341,350,75,201,43.33,11,9,35,7,55.36,61.14,21.31,0.09,38
"297",342,560,40,65,98.73,17,16,48,9,23.17,46.68,12.25,0.36,52
"298",343,450,50,145,100,26,24,56,3,24,6.46,22.4,0.22,51
"299",344,450,50,77,75,29,28,13,24,43.94,10.32,29.22,0.03,18
"300",345,200,50,32,91.8,6,6,28,14,44.12,43.89,28.79,0.01,20
"301",346,300,100,188,54.84,5,6,34,6,71.83,22.73,24.26,0.01,20
"302",347,550,50,310,92.21,8,11,48,4,71.6,9.91,20.71,0.03,42
"303",348,570,14.55,895,82.76,8,8,44,3,32.47,40.33,22.65,0.66,45
"304",349,170,17.5,111,100,16,19,49,8,6.98,48.97,25.91,0.01,36
"305",350,80,20,230,80,14,11,28,3,42.86,86.28,19.05,0,22
"306",351,470,22.5,337,90.48,22,22,39,8,76.47,23.78,22.28,1.59,49
"307",352,400,50,185,96.1,21,21,60,3,75.95,70.96,25,1.37,47
"308",353,400,100,2193,100,21,18,51,1,86.21,21.8,20.51,0.14,23
"309",354,240,30,11,57.69,18,17,69,6,55.26,31.79,22.4,0.16,25
"310",355,400,100,155,23.91,13,14,32,2,84.72,10.32,27.12,1.55,24
"311",356,220,10,75,100,22,20,53,5,1.15,43.06,12.24,0.28,37
"312",358,681.765013966802,68.036790140556,6,100,41,41,41,12,0,0,16.67,0,50
"313",361,-403.133801209803,2.36061958808796,38,0,0,0,51,8,0,0,0,0,33
"314",362,550,100,17,91.38,15,14,43,8,31.08,35.37,29.18,0.14,27
"315",364,400,100,37,100,16,12,58,4,13.95,74.06,12.52,0.09,44
"316",365,500,38,300,96.43,18,20,49,8,73.81,10.61,21.3,0.46,24
"317",366,330,40,229,87.72,20,21,46,4,29.31,11.39,19.03,0.03,58
"318",367,580,20,118,0,0,0,38,5,40,0,0,0,52
"319",368,50,50,586,81.08,14,17,40,5,58.97,23.53,19.61,0.02,22
"320",369,150,50,185,68.42,23,24,28,4,71.43,20.56,28.75,0.04,41
"321",370,260,30,145,100,4,4,53,1,92.86,64.02,21.05,0,24
"322",371,500,100,2335,100,4,4,58,1,89.66,26.06,26.53,0.22,38
"323",372,70,20,10.547484228093,24.6829970961994,0,0,0,0,44.1807865692304,0,13.0888507335228,-0.370675707360253,62
"324",374,600,50,792,11.43,16,15,44,3,86.84,100,16,0,28
"325",375,400,50,68,100,15,17,47,2,3.45,5.73,31.31,0.27,25
"326",376,590,31.67,92,0,0,0,43,10,37.5,0,0,0,52
"327",377,300,100,36,86.21,16,16,60,9,38.46,22.18,25.75,0.14,32
"328",378,710,25.56,1641,100,23,22,39,3,86.21,29.92,14.89,0.24,43
"329",380,500,100,101,100,28,25,66,5,26.53,40.13,27.84,0,21
"330",382,140,16.67,382,8.33,0,0,33,7,57.89,9.66,16.67,0,36
"331",383,36.8343478506435,-5.33772007394349,19,100,21,21,34,4,0,100,16.67,0,22
"332",384,400,100,92,97.59,25,25,37,8,32.53,69.25,14.8,0.25,53
"333",386,250,50,48,84.62,16,17,17,16,37.84,19.35,22.8,0.36,38
"334",387,260,36.67,92,92.5,21,20,48,6,39.53,33.02,18.1,0.04,37
"335",388,50,10,6,0,0,0,33,11,57.14,0,0,-0.705084464660016,35
"336",389,-223.905557209352,22.9721904597009,5,0,0,0,45,9,0,0,0,-1.12276285991693,46
"337",390,10,10,58,100,16,12,41,5,0,71.2,13.29,0,47
"338",391,1050,46.25,199,100,16,16,28,6,49.43,9.94,26.35,0.92,17
"339",392,200,50,200,17.24,15,11,39,15,31.43,100,15.79,0,60
