"","X","RECHARGE_VALUE","MIN_RECHARGE_AVG","P2_MADE_CALLS_DURATION","P2_PERC_DAYS_SOCIAL_NETWORK_OTT","PERC_SOCIAL_NETWORK_SESSIONS_IN_P1","PERC_INTERNET_SESSIONS_IN_P1","PERC_RECEIVED_CALLS_DURATION_IN_P2","PERC_P4_RECEIVED_CALLS_DURATION_BY_TOTAL","P23_PERC_DAYS_MADE_CALLS_OTT","WEEKDAY_PERC_INTERNET_MB","WEEKEND_HOLYDAY_PERC_SOCIAL_NETWORK_SESSIONS","WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION","AGE"
"6543",7973,350,50,74,95.45,27,27,28,12,50,8.79,24.15,0.03,33
"6544",7976,500,60,268,92.5,17,15,38,6,83.53,24.2,23.95,1.66,18
"6545",7978,280,30,252,84.91,13,18,44,6,48.33,49.01,22.85,0.63,23
"6546",7979,500,100,53,100,18,18,50,2,12.79,32.92,29.4,0.11,48
"6547",7982,760,13.53,342,0,0,0,41,5,82.09,0,0,0,35
"6548",7983,130,15,113,0,0,0,29,3,56.25,0,0,0,24
"6549",7984,600,44,56,100,23,22,37,12,37.35,33.56,19.67,0.39,29
"6550",7985,300,100,740,82.35,13,12,41,5,89.33,24.59,25.18,0.22,42
"6551",7987,600,50,1151,0,0,0,40,3,96.34,0,0,0,63
"6552",7988,570,43.33,37,98.63,23,23,44,5,24.36,21.1,23.45,0.09,24
"6553",7989,400,100,187,96.1,15,15,41,7,43.53,31.41,23.63,1.27,45
"6554",7990,120,20,57,100,30,33,40,9,0,8.35,16.95,1.16,32
"6555",7991,480,70,268,100,18,19,55,7,75.86,7.83,20.43,1.74,30
"6556",7992,720,20,21,76.67,25,25,51,6,27.27,99.81,16.08,0,38
"6557",7993,30,30,0,100,21,20,75,0,0,61.97,18.18,0,28
"6558",7994,380,16.67,31,42.37,2,1,48,4,71.64,92.51,15.74,0,45
"6559",7995,120,35,36,32.5,4,4,44,12,72.09,81.23,34.41,0,23
"6560",7996,550,35,703,98.7,18,17,58,2,42.5,10.93,26.76,0.05,29
"6561",7997,180,20,160,76.47,16,15,36,5,62.5,9.27,18.45,0.38,42
"6562",7998,330,43.33,526,0,0,0,31,3,59.26,97.96,16.67,0,30
"6563",7999,450,50,304,80.6,5,4,51,4,24.68,29.02,21.54,0.05,40
"6564",8000,40,20,219,35.29,11,22,76,2,18.18,100,16.67,0,34
"6565",8001,300,100,298,81.82,9,10,55,4,16.67,56.39,22.05,0.02,33
"6566",8002,520,42.5,454,73.68,24,21,30,7,83.13,42.21,23.5,0.11,43
"6567",8003,740,42.5,359,90.12,15,16,38,6,69.77,22.5,24.03,0.09,25
"6568",8004,500,42.5,438,1.22,0,0,51,9,83.72,99.49,0,0,45
"6569",8006,450,75,640,88.75,10,12,35,2,76.74,32.29,24.24,0.15,40
"6570",8008,120,40,50,33.33,7,7,30,11,23.08,17.87,22.92,0.88,19
"6571",8009,400,100,37,98.72,31,30,39,14,25.61,26.71,22.33,0.11,22
"6572",8010,310,33.33,34,95.12,21,21,33,5,12.5,40.78,21.74,2.97,20
"6573",8011,450,50,258,100,22,22,32,7,60.92,14.27,25.05,0.25,45
"6574",8012,200,20,56,100,24,23,33,10,15.22,53.65,21.76,0.11,19
"6575",8013,560,43.33,550,78.85,3,3,39,4,49.12,47.27,28.31,0.73,47
"6576",8015,26.2843729229664,-18.7461709135094,0,100,0,0,0,0,0,0,16.9852430325905,1.9808568610059,15
"6577",8016,200,50,118,0,0,0,38,6,47.83,0,0,0,61
"6578",8019,350,75,705,89.16,4,4,63,1,78.82,34.82,23.86,0.02,33
"6579",8020,700,100,210,89.53,22,23,62,4,62.07,20.27,25.28,0.34,29
"6580",8021,400,100,118,42.11,20,17,51,6,60.26,93.07,24.26,0.19,46
"6581",8022,400,100,70,100,10,9,36,11,55.17,23.39,26.25,0.42,44
"6582",8024,600,200,386,100,22,23,45,7,70.11,32.07,19.37,0.27,35
"6583",8025,600,40,81,93.1,13,14,46,18,64.37,55.99,25.12,0.11,51
"6584",8027,180,40,169,55,18,16,40,7,40.91,35.26,25,2.59,45
"6585",8028,400,100,272,100,24,25,45,4,64.37,71.79,12.91,0.16,52
"6586",8029,350,50,134,100,16,16,52,5,13.64,21.27,20.59,0.94,28
"6587",8032,320,25,28,100,26,24,38,9,7.23,60.9,18.35,0.04,29
"6588",8033,530,24.29,24,98.81,17,18,41,11,27.06,10.78,23.36,0.58,24
"6589",8034,440,35,50,70.59,23,23,38,4,55.56,81.35,14.62,0,28
"6590",8035,260,30,144,82,8,8,60,4,31.82,5.85,24.31,0,38
"6591",8037,410,37.5,26,97.1,9,9,17,13,28.4,2.71,28.6,0,16
"6592",8038,700,50,41,100,14,20,39,9,44.83,5.51,21.98,0.18,30
"6593",8041,400,100,136,47.69,19,21,48,4,69.74,86.16,24.5,0,37
"6594",8043,1170,30.83,8,100,23,24,35,8,9.41,15.4,26.95,1,19
"6595",8044,450,75,546,96.51,22,23,48,8,94.19,12.42,22.45,0.22,40
"6596",8045,550,36.67,304,95.06,4,4,51,5,79.76,8.08,23.69,0.08,40
"6597",8046,260,27.5,100,100,9,10,36,5,7.89,23.56,24.65,0.04,33
"6598",8047,-250.426073085751,-40.5217393852185,40,0,0,0,28,2,0,0,0,0,42
"6599",8049,200,100,178,45.65,6,7,39,6,82.98,43.63,27.99,0.16,29
"6600",8050,400,50,392,95.06,25,26,39,5,58.33,14.5,23.37,0.07,60
"6601",8051,220,35,1997,51.61,25,27,36,2,48.72,3.96,27.68,0.01,39
"6602",8052,1200,100,318,100,22,22,26,4,73.49,13.66,20.77,0.95,29
"6603",8053,300,100,187,92.31,15,17,48,9,55.95,48.46,20.74,0.07,27
"6604",8054,80,20,53,7.69,0,0,51,8,27.27,61.89,0,0,28
"6605",8055,223.293701121119,40.8354429779969,267,96.88,26,24,40,6,0,83.92,16.12,0,62
"6606",8057,200,30,114,0,0,0,61,4,69.39,0,0,0,58
"6607",8058,150,20,243,81.82,19,19,43,8,1.92,19.88,19.34,0.76,23
"6608",8063,520,30,295,65.79,17,16,46,4,75.31,16.15,23.27,1.02,54
"6609",8064,400,100,161,88.57,20,20,16,9,94.05,41.62,27.04,1.02,40
"6610",8065,430,65,36,85.48,12,13,44,9,50.7,23.11,25,0.07,22
"6611",8066,380,50,1297,95.29,14,16,47,2,72.41,67.3,27.28,0.03,22
"6612",8067,400,100,345,97.7,20,20,40,7,96.55,29.36,16.45,2.11,36
"6613",8068,550,32.5,188,0,0,0,27,19,48.21,0,0,0,62
"6614",8069,50,50,170,100,17,19,53,5,62.96,38.73,23.76,0.17,36
"6615",8070,150,50,328,74.36,21,20,52,2,42.55,95.66,20.23,0.66,55
"6616",8071,300,50,270,0,0,0,35,9,82.93,0,0,0,60
"6617",8072,580,45,161,47.3,23,23,34,5,90.59,21.23,23.77,2.32,24
"6618",8073,30,30,4,0,0,0,25,15,100,0,0,0.762829095572295,62
"6619",8074,20,20,88,100,22,15,36,8,0,27.74,19.51,0,45
"6620",8075,420,32.5,189,0,10,25,44,8,80.82,100,25.93,0.01,46
"6621",8076,340,18,494,59.52,18,19,49,3,47.17,61.9,15.49,0.04,24
"6622",8077,550,50,226,86.42,17,19,28,8,87.06,68.62,22.63,0.1,20
"6623",8078,990,45,1345,97.67,20,22,32,4,77.01,17.75,24.21,1.15,36
"6624",8081,948.591190716864,74.923331134965,10,100,0,0,100,0,50,55.98,23.808172592071,-0.332722678043324,27
"6625",8082,760,20,304,96.34,18,17,41,5,22.89,11.45,21.69,5.43,18
"6626",8083,250,50,138,77.27,8,10,34,4,32.26,39.51,14.17,1.09,30
"6627",8084,710,46.67,96,82.93,6,7,40,12,46.43,19.5,31.51,0.1,34
"6628",8085,314.770372812196,80.0426865990413,189,0,0,0,34,12,0,0,0,0,40
"6629",8087,220,35,194,98.84,23,23,28,6,55.81,7.2,24.21,0.19,30
"6630",8089,204.279558902384,-10.3695258091589,101,0,0,0,23,4,9.09,0,0,0,38
"6631",8090,600,200,121,100,20,24,49,3,47.13,56.89,16.62,0.14,60
"6632",8091,180,20,240,92,10,10,54,3,22.58,43.34,22.86,0.02,30
"6633",8092,100,100,44,100,24,25,76,2,23.68,16.16,19.38,0,33
"6634",8093,40,20,165,0,0,0,42,5,11.11,0,0,0,49
"6635",8094,40,20,26,100,24,23,33,12,1.27,100,11.14,0,22
"6636",8095,470,60,146,0,0,0,46,8,88.24,0,0,0,51
"6637",8098,520,60,198,98.85,13,13,28,4,56.32,37.61,22.69,0.33,32
"6638",8099,420,42.5,291,82.05,15,14,34,12,37.25,13.27,22.85,0.05,40
"6639",8100,400,100,71,93.44,20,19,39,5,30.43,65.84,17.3,1.04,21
"6640",8101,540,42.5,135,68.49,37,36,58,4,62.82,4.93,22.87,0.03,47
"6641",8103,510,50,480,98.82,22,21,55,5,76.74,85.1,22.84,0.1,32
"6642",8104,450,50,724,86.25,19,20,51,3,77.65,12.06,19.08,1.63,41
"6643",8105,600,50,57,90,24,21,25,17,27.54,12.1,22.9,0.09,35
"6644",8106,450,56.25,11,92.86,31,31,24,15,55.88,8.8,27.58,0.3,28
"6645",8107,600,50,383,100,22,21,42,9,56.32,21.05,25.31,0.76,42
"6646",8108,500,100,114,96.1,19,21,41,3,27.06,26.82,13.32,1.04,23
"6647",8109,300,100,27,100,29,26,33,13,8.54,23.51,17.05,0.62,21
"6648",8110,480,47.5,1132,97.14,13,13,30,2,64.38,5.58,27.15,0.07,41
"6649",8112,470,85,279,98.8,18,20,45,3,45.98,25,17.33,0.72,60
"6650",8113,570,44,20,81.43,7,8,38,6,63.41,5.76,21.48,3.37,20
"6651",8115,140,20,146,82.14,22,21,38,5,14.71,8.82,23.27,0.19,16
"6652",8116,630,50,907,100,25,26,39,3,93.1,3.08,22.24,0.36,43
"6653",8117,350,50,1233,19.23,6,8,44,3,76.19,62.87,21.43,0,55
"6654",8118,220,26.67,110,22.58,24,22,65,2,51.16,17.84,22.09,0.06,47
"6655",8119,420,20,788,45.95,22,21,36,4,48.98,12.77,20.3,0.13,35
"6656",8120,410,26,87,98.8,15,15,50,14,3.45,38.3,22.41,0.34,46
"6657",8121,50,50,321,0,0,0,45,4,25,0,0,0,58
"6658",8122,150,25,32,100,24,25,44,8,5.88,85.16,15.17,0,22
"6659",8123,380,40,154,35.42,19,18,40,4,56.25,63.67,14.52,0.68,49
"6660",8124,330,37.5,93,75,18,18,43,7,45,9.72,24.41,0.03,43
"6661",8125,130,20,44,0,0,0,46,5,30.77,0,0,0,26
"6662",8126,120,15,43,0,0,0,35,2,62.5,0,0,1.59856646164227,41
"6663",8128,250,50,113,63.51,10,11,42,11,71.6,57.89,18.7,0.07,49
"6664",8130,99.4503288159036,37.1753129144189,51,100,23,25,55,10,0,100,16.44,0,42
"6665",8131,200,100,51,62.5,20,20,37,13,30,81.93,20.95,0.02,46
"6666",8132,240,10,263,86.36,21,20,64,2,40.48,3.39,14.78,0.68,40
"6667",8133,550,75,286,98.68,22,20,52,6,20.48,80.36,12.88,0.14,32
"6668",8134,350,50,28,16.67,0,0,60,6,30.43,0,16.67,-0.286143150951153,64
"6669",8135,350,75,353,97.65,13,12,55,7,89.53,9.73,23.55,0.16,45
"6670",8136,-51.2136926441481,4.57882373454103,1,100,16,15,40,0,0,99.8,16.41,0,18
"6671",8137,30,30,34,100,27,25,40,8,11.11,0.02,17.44,0,18
"6672",8138,200,30,507,66.67,24,22,42,4,33.33,100,18.03,0,51
"6673",8141,400,100,497,100,21,16,33,14,85.06,59.32,12.12,0.18,51
"6674",8142,110,30,143,0,0,0,51,9,46.15,0,0,0,58
"6675",8144,400,100,443,85.14,22,23,44,3,54.32,23.53,25.71,0.03,30
"6676",8145,80,20,17,100,13,15,63,4,11.11,27.03,26.09,0.42,20
"6677",8146,410,55,1248,98.82,21,22,56,2,77.65,43.48,29.9,0.09,36
"6678",8149,550,50,9,100,22,23,19,3,18.82,14.14,19.5,0.11,52
"6679",8150,130,30,14,50,0,0,33,13,0,0,25.93,0,49
"6680",8151,530,76.67,222,90.48,14,16,52,5,84.71,38.97,25.5,0.2,42
"6681",8152,300,28,56,100,22,22,49,14,12.64,35.09,16.14,0.18,30
"6682",8153,140,20,57,97.14,38,41,40,13,6.94,5.22,27.5,0.02,35
"6683",8154,400,66.67,55,100,24,24,36,7,24.14,22.38,22.49,0.46,27
"6684",8155,420,60,57,0,0,0,36,17,71.64,0,0,0,55
"6685",8156,400,100,66,87.69,23,25,51,8,60,13.12,24.71,0.1,24
"6686",8157,250,50,16,88.1,2,3,48,12,20.41,73.45,21.74,0.01,24
"6687",8162,600,37.5,759,67.11,22,22,43,4,91.03,13.89,25.07,0.22,39
