,RECHARGE_VALUE,RECHARGE_AVG,COUNT_HAS_RECHARGE,SOCIAL_NETWORK_MB,INSTAGRAM_MB,PERC_SOCIAL_NETWORK_MB,PERC_WHATSAPP_MB,PERC_INTERNET_MB,SOCIAL_NETWORK_MB_BY_SESSION,PERC_DAYS_SOCIAL_NETWORK_OTT,PERC_DAYS_MADE_CALLS_OTT,P1_SOCIAL_NETWORK_MB,P1_PERC_WHATSAPP_SESSIONS,P1_PERC_INTERNET_SESSIONS,P1_SOCIAL_NETWORK_MB_BY_SESSION,P2_MADE_CALLS,P2_MADE_CALLS_DURATION,P2_PERC_RECEIVED_CALLS_DURATION,P3_MADE_CALLS_DURATION,P3_SOCIAL_NETWORK_MB_BY_SESSION,P3_PERC_DAYS_MADE_CALLS_OTT,P4_INSTAGRAM_MB,P4_WHATSAPP_MB_BY_SESSION,P4_PERC_DAYS_MADE_CALLS_OTT,PERC_SOCIAL_NETWORK_SESSIONS_IN_P1,PERC_P1_INTERNET_MB_BY_TOTAL,PERC_RECEIVED_CALLS_DURATION_IN_P2,PERC_MADE_CALLS_IN_P2,PERC_P2_MADE_CALLS_BY_TOTAL,PERC_P2_MADE_CALLS_DURATION_BY_TOTAL,PERC_INSTAGRAM_MB_IN_P3,PERC_WHATSAPP_MB_IN_P4,PERC_RECEIVED_CALLS_DURATION_IN_P4,PERC_P4_WHATSAPP_SESSIONS_BY_TOTAL,PERC_P4_RECEIVED_CALLS_DURATION_BY_TOTAL,WEEKEND_HOLYDAY_INTERNET_MB,WEEKEND_HOLYDAY_WHATSAPP_MB_BY_SESSION,WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION,DEVICE_CAPABILITY_2G,AGE
0,440.0,62.86,3.0,587.39,0.01,65.98,17.15,16.86,1.17,98.85,82.76,20.45,23.71,24.23,0.5,115.0,174.0,51.26,104.0,1.39,53.49,0.01,0.16,37.33,8.0,1.0,43.0,25.0,10.0,21.0,0.0,13.0,18.0,6.0,9.0,16.5,0.59,0.1,0,24
1,50.0,16.67,2.0,0.33,0.0,0.88,26.12,73.0,0.01,44.44,5.56,0.06,26.92,23.08,0.02,2.0,83.0,59.11,127.0,0.0,0.0,0.0,0.18,0.0,11.0,2.0,40.0,100.0,3.0,13.0,0.0,43.0,28.0,9.0,13.0,0.55,0.11,0.11,0,25
2,550.0,61.11,3.0,3176.19,0.02,80.61,0.0,19.39,7.07,87.5,88.75,860.74,10.68,27.95,8.04,259.0,186.0,32.85,158.0,5.22,61.97,0.0,0.0,64.0,24.0,5.0,37.0,21.0,15.0,21.0,0.0,0.0,25.0,3.0,7.0,212.9,0.0,0.0,0,52
3,400.0,100.0,3.0,263.94,0.0,67.79,6.08,26.12,1.94,58.97,64.1,13.12,22.22,22.22,1.64,355.0,432.0,26.03,118.0,1.28,49.25,0.0,0.03,42.11,6.0,0.0,54.0,45.0,35.0,48.0,0.0,6.0,5.0,8.0,1.0,68.88,0.19,0.27,0,52
4,410.0,82.0,3.0,377.83,0.0,62.22,0.27,37.51,2.15,53.01,89.16,35.67,20.48,24.1,1.88,474.0,70.0,45.31,169.0,1.07,68.06,0.0,0.01,69.44,11.0,5.0,19.0,34.0,22.0,10.0,0.0,18.0,38.0,7.0,16.0,34.23,0.01,0.01,0,47
5,600.0,100.0,3.0,3626.12,0.0,68.65,4.43,26.92,5.84,100.0,85.88,428.33,20.98,20.39,3.51,521.0,396.0,32.54,359.0,6.16,61.64,0.0,0.29,25.37,20.0,7.0,48.0,48.0,36.0,28.0,0.0,16.0,19.0,5.0,5.0,331.94,0.12,0.04,0,33
6,190.0,47.5,3.0,11.71,0.0,5.4,70.16,24.44,0.11,91.53,27.12,0.0,27.78,27.78,0.0,14.0,63.0,35.05,25.0,0.0,7.14,0.0,0.28,23.33,4.0,1.0,51.0,22.0,13.0,33.0,0.0,9.0,16.0,5.0,6.0,5.72,0.69,0.47,0,38
7,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,46.81,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,26.0,0.0,0.0,18.0,6.0,9.0,0.0,0.0,0.0,0,27
8,400.0,100.0,3.0,70.4,0.16,17.35,12.32,70.29,0.24,97.65,80.0,1.48,20.51,24.36,0.08,149.0,91.0,47.4,90.0,0.22,30.99,0.0,0.6,40.74,7.0,1.0,50.0,39.0,26.0,21.0,69.0,47.0,10.0,3.0,4.0,132.59,0.36,0.52,0,50
9,550.0,61.11,3.0,762.7,0.0,84.91,0.32,14.74,4.31,74.65,77.46,355.92,21.64,22.62,5.01,536.0,587.0,8.14,494.0,4.84,63.83,0.0,0.01,50.0,40.0,5.0,26.0,31.0,26.0,30.0,0.0,23.0,25.0,7.0,3.0,41.93,0.02,0.02,0,40
10,320.0,80.0,2.0,109.61,0.0,4.11,79.78,16.11,0.15,92.31,94.87,5.39,19.47,25.0,0.05,839.0,849.0,22.47,1091.0,0.1,57.33,0.0,3.27,33.8,14.0,1.0,51.0,34.0,27.0,28.0,0.0,26.0,18.0,6.0,3.0,100.88,1.45,1.18,0,60
11,,,,0.0,0.0,6.58,2.07,91.35,0.0,100.0,0.0,0.0,15.69,21.08,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,100.0,56.0,0.0,0.0,0.0,0.0,0.0,33.0,4.0,19.0,0.0,0.0,0.0,0,26
12,650.0,54.17,3.0,10461.64,0.0,91.95,1.91,6.14,10.26,95.4,85.06,4880.36,26.94,25.47,14.31,267.0,255.0,42.44,290.0,10.78,52.94,0.0,0.3,59.76,33.0,3.0,39.0,27.0,16.0,19.0,0.0,38.0,27.0,8.0,10.0,147.01,0.15,0.21,0,40
13,500.0,125.0,3.0,1389.42,0.0,42.56,5.52,51.92,1.63,100.0,56.98,105.68,19.79,24.58,0.95,119.0,316.0,22.17,134.0,1.74,34.12,0.0,0.11,17.65,13.0,1.0,41.0,43.0,25.0,37.0,0.0,10.0,19.0,5.0,5.0,387.04,0.33,0.24,0,31
14,500.0,100.0,3.0,2831.45,0.0,73.04,0.88,26.06,4.77,98.84,65.12,171.66,20.51,20.96,1.17,72.0,51.0,42.05,580.0,5.64,39.76,0.0,0.02,29.31,25.0,2.0,11.0,15.0,10.0,2.0,0.0,6.0,40.0,4.0,4.0,348.56,0.02,0.01,0,36
15,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,46.43,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,29.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0,20
16,500.0,83.33,3.0,3718.15,0.0,82.3,2.33,15.36,3.18,100.0,86.21,1385.53,29.14,13.7,5.68,708.0,121.0,30.06,87.0,1.65,37.04,0.0,0.14,61.25,21.0,2.0,35.0,27.0,23.0,13.0,0.0,39.0,34.0,8.0,6.0,348.06,0.16,0.15,0,38
17,90.0,30.0,1.0,493.72,0.0,78.8,4.74,16.46,3.05,75.0,70.0,64.01,26.51,27.71,2.78,25.0,548.0,25.14,150.0,3.56,54.55,0.0,0.15,58.33,14.0,0.0,57.0,27.0,15.0,44.0,0.0,24.0,19.0,8.0,5.0,27.45,0.11,0.03,0,31
20,430.0,61.43,2.0,5067.06,0.0,83.96,5.24,10.79,11.29,98.36,40.98,916.69,23.28,20.37,8.18,36.0,43.0,58.65,6.0,7.57,11.11,0.0,0.41,9.26,25.0,4.0,57.0,54.0,17.0,25.0,0.0,15.0,11.0,6.0,7.0,182.45,0.39,0.37,0,33
23,,,,0.0,0.0,0.0,81.71,18.29,0.0,100.0,0.0,0.0,15.45,22.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4.0,0.0,0.0,0.0,0.0,0,40
24,550.0,50.0,3.0,3507.08,0.0,75.03,9.06,15.91,4.53,100.0,96.55,183.73,22.06,22.64,1.16,398.0,791.0,18.79,1063.0,4.48,65.52,0.0,0.8,79.31,21.0,3.0,35.0,13.0,11.0,21.0,0.0,38.0,27.0,6.0,4.0,130.62,0.21,0.12,0,47
25,400.0,100.0,3.0,133.54,0.0,39.07,1.7,59.23,1.0,34.62,89.74,12.51,19.7,22.73,0.89,433.0,581.0,22.12,840.0,1.53,58.82,0.0,0.03,72.31,10.0,6.0,36.0,30.0,23.0,24.0,0.0,16.0,25.0,4.0,5.0,13.01,0.05,0.03,1,53
26,170.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.91,0.0,0.0,0.0,0.0,261.0,153.0,15.0,67.0,0.0,70.27,0.0,0.0,80.85,0.0,0.0,26.0,26.0,20.0,38.0,0.0,0.0,33.0,0.0,9.0,0.0,0.0,0.0,1,21
28,600.0,200.0,3.0,4595.71,1.76,74.0,0.7,25.27,7.2,100.0,75.86,494.25,15.18,32.55,4.8,407.0,267.0,41.83,114.0,6.17,36.05,0.06,0.09,34.48,16.0,2.0,46.0,37.0,28.0,25.0,0.0,38.0,24.0,5.0,9.0,547.08,0.06,0.03,0,24
29,160.0,14.55,3.0,0.0,0.0,0.01,0.0,99.99,0.0,45.45,34.55,0.0,15.58,20.78,0.0,18.0,171.0,38.27,91.0,0.0,23.33,0.0,0.0,39.39,19.0,37.0,31.0,27.0,9.0,22.0,0.0,0.0,42.0,4.0,18.0,8.9,0.0,0.0,0,23
30,916.1,57.26,3.0,3296.87,31.28,66.71,16.26,16.39,5.42,97.67,60.47,538.5,21.01,23.62,3.85,352.0,325.0,21.31,254.0,5.14,31.25,22.0,0.92,30.0,23.0,3.0,47.0,37.0,29.0,35.0,17.0,18.0,29.0,5.0,6.0,271.03,2.0,0.57,0,40
31,400.0,100.0,3.0,4038.77,0.0,77.27,5.89,16.84,11.57,83.91,98.85,318.45,20.5,23.6,8.85,904.0,321.0,15.08,299.0,6.95,82.72,0.0,1.54,75.32,10.0,5.0,30.0,30.0,24.0,30.0,0.0,53.0,23.0,7.0,4.0,437.78,1.02,1.5,0,41
32,100.0,50.0,2.0,595.24,0.0,95.49,0.19,4.32,7.73,85.0,15.0,12.89,17.65,23.53,3.22,2.0,77.0,25.24,53.0,6.5,7.69,0.0,0.03,0.0,5.0,0.0,46.0,50.0,9.0,35.0,0.0,49.0,27.0,7.0,7.0,7.25,0.02,0.04,0,47
33,300.0,100.0,2.0,1645.85,0.0,72.27,0.13,27.6,3.68,100.0,20.27,245.01,17.84,23.68,3.18,30.0,11.0,21.43,8.0,3.15,10.91,0.0,0.01,9.52,17.0,5.0,20.0,22.0,16.0,14.0,0.0,48.0,47.0,5.0,9.0,145.78,0.01,0.0,0,53
34,200.0,100.0,2.0,3792.27,1.89,86.79,1.99,11.18,14.64,81.82,56.36,332.5,22.91,17.18,6.05,56.0,40.0,51.22,42.0,6.06,46.15,0.63,0.11,21.95,21.0,1.0,34.0,23.0,16.0,17.0,0.0,10.0,20.0,7.0,10.0,277.29,0.11,0.17,0,33
35,250.0,62.5,3.0,555.3,0.0,74.73,0.29,24.98,3.54,92.59,20.37,0.1,17.24,29.89,0.01,5.0,34.0,33.33,172.0,2.71,24.32,0.0,0.02,16.0,10.0,0.0,20.0,10.0,5.0,9.0,0.0,31.0,25.0,5.0,6.0,82.13,0.03,0.04,0,34
36,630.0,157.5,3.0,6196.89,0.08,80.28,3.78,15.91,6.68,100.0,17.24,822.93,23.7,23.29,3.35,54.0,15.0,61.54,17.0,5.02,9.3,0.0,0.25,3.7,27.0,1.0,37.0,59.0,41.0,10.0,0.0,18.0,23.0,6.0,10.0,292.2,0.39,0.26,0,27
37,360.0,36.0,3.0,1891.49,0.13,51.56,38.06,10.38,5.17,98.77,41.98,13.18,18.92,21.62,1.88,86.0,130.0,63.59,55.0,5.59,22.37,0.0,0.39,12.28,2.0,0.0,56.0,42.0,21.0,20.0,0.0,3.0,12.0,5.0,7.0,68.31,0.47,0.07,0,30
39,100.0,50.0,1.0,784.1,0.0,97.45,0.59,1.96,8.08,90.91,18.18,41.64,17.72,20.25,2.6,65.0,35.0,57.32,170.0,19.04,6.25,0.0,0.17,12.5,16.0,0.0,35.0,80.0,57.0,7.0,0.0,87.0,31.0,5.0,9.0,9.38,0.14,0.32,0,17
40,400.0,100.0,3.0,164.55,0.04,35.24,17.87,46.88,0.48,83.91,82.76,2.06,20.93,25.58,0.09,207.0,131.0,44.96,236.0,0.39,63.29,0.0,0.03,48.65,6.0,0.0,48.0,32.0,18.0,20.0,100.0,0.0,11.0,1.0,4.0,67.67,0.44,0.0,0,46
41,570.0,43.85,3.0,364.93,2.24,74.84,5.77,18.29,1.03,97.14,31.43,33.56,21.79,21.79,0.6,14.0,137.0,49.26,90.0,1.3,27.27,0.41,0.08,3.23,16.0,1.0,42.0,39.0,10.0,18.0,39.0,23.0,16.0,5.0,7.0,25.8,0.08,0.04,0,27
43,520.0,86.67,3.0,4496.98,0.45,82.47,2.63,14.89,5.59,100.0,95.4,524.64,21.54,21.92,2.93,1045.0,1115.0,34.57,777.0,3.13,83.91,0.0,0.41,55.17,22.0,3.0,56.0,44.0,29.0,33.0,0.0,54.0,9.0,6.0,3.0,254.24,0.16,0.2,0,43
44,800.0,61.54,3.0,3.85,0.47,18.28,0.0,79.47,0.3,11.36,75.0,1.76,12.5,25.0,0.88,145.0,40.0,21.57,27.0,0.04,76.47,0.0,0.0,75.0,15.0,0.0,32.0,33.0,25.0,15.0,0.0,0.0,41.0,4.0,5.0,0.0,0.0,0.0,0,55
45,60.0,20.0,2.0,6.02,0.0,13.44,33.01,53.55,0.05,96.72,0.0,0.24,17.42,21.91,0.01,0.0,190.0,39.49,109.0,0.0,0.0,0.0,0.08,0.0,23.0,10.0,35.0,0.0,0.0,18.0,0.0,21.0,25.0,4.0,8.0,16.32,0.26,0.09,0,28
46,300.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.79,0.0,0.0,0.0,0.0,358.0,885.0,21.47,366.0,0.0,76.19,0.0,0.0,71.88,0.0,0.0,36.0,44.0,31.0,37.0,0.0,0.0,26.0,0.0,7.0,0.0,0.0,0.0,1,49
47,780.0,111.43,3.0,2108.12,0.0,86.05,2.62,11.32,3.06,98.85,20.69,155.52,22.77,20.17,0.94,7.0,96.0,51.27,46.0,3.2,7.23,0.0,0.05,9.41,24.0,3.0,35.0,18.0,5.0,19.0,0.0,14.0,24.0,6.0,14.0,106.03,0.04,0.04,0,61
48,400.0,50.0,3.0,402.69,5.59,73.14,5.2,20.65,0.68,100.0,0.0,135.78,26.8,23.92,0.96,0.0,46.0,46.51,11.0,0.51,0.0,0.01,0.09,0.0,24.0,7.0,47.0,0.0,0.0,30.0,99.0,60.0,19.0,10.0,10.0,30.48,0.06,0.11,0,18
50,30.0,30.0,1.0,0.42,0.0,1.6,47.59,50.79,0.0,96.67,1.67,0.01,16.67,20.99,0.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.05,0.0,18.0,30.0,33.0,100.0,20.0,0.0,0.0,18.0,27.0,5.0,21.0,8.22,0.07,0.13,1,50
51,430.0,61.43,3.0,1306.87,0.0,65.66,15.38,18.96,2.83,100.0,38.82,86.3,19.74,26.32,0.93,76.0,212.0,25.09,191.0,2.58,22.22,0.0,0.76,9.64,20.0,2.0,39.0,44.0,23.0,22.0,0.0,39.0,28.0,6.0,5.0,68.01,0.62,0.41,0,17
52,100.0,100.0,1.0,1086.4,0.0,44.61,6.22,49.17,2.45,100.0,94.0,58.38,22.35,20.0,1.42,398.0,486.0,22.12,88.0,4.02,62.5,0.0,0.29,62.0,9.0,2.0,46.0,37.0,29.0,40.0,0.0,25.0,29.0,8.0,7.0,223.62,0.31,0.25,0,21
53,1150.0,76.67,3.0,4691.3,38.47,61.27,4.24,33.99,7.78,100.0,79.22,117.78,22.69,20.17,2.14,152.0,93.0,47.75,70.0,2.01,53.62,9.32,0.47,26.32,9.0,2.0,66.0,33.0,20.0,31.0,19.0,32.0,5.0,9.0,2.0,653.5,0.46,0.37,0,44
54,300.0,100.0,2.0,0.65,0.0,0.33,0.0,99.67,0.0,96.72,65.57,0.05,14.29,27.14,0.0,289.0,62.0,26.19,71.0,0.0,36.0,0.0,0.0,58.54,21.0,13.0,41.0,44.0,32.0,20.0,0.0,0.0,30.0,3.0,5.0,2.91,0.0,0.0,0,57
55,400.0,100.0,3.0,3529.8,18.08,81.93,2.29,15.36,11.28,84.42,44.16,714.26,19.86,20.94,10.66,125.0,109.0,34.34,19.0,8.46,33.33,0.03,0.21,8.51,21.0,1.0,59.0,56.0,36.0,45.0,81.0,17.0,14.0,6.0,5.0,334.41,0.43,0.41,0,40
56,600.0,200.0,3.0,3496.86,38.27,75.03,2.57,21.58,4.36,100.0,68.97,170.53,16.63,31.03,1.04,195.0,64.0,60.25,106.0,3.73,36.78,3.08,0.04,11.49,20.0,1.0,53.0,27.0,18.0,13.0,2.0,4.0,15.0,4.0,6.0,236.17,0.13,0.02,0,31
57,850.0,94.44,3.0,1.1,0.0,0.39,0.0,99.61,0.0,100.0,59.77,0.15,14.61,26.78,0.0,263.0,230.0,22.56,190.0,0.0,24.42,0.0,0.0,16.09,24.0,17.0,45.0,51.0,42.0,25.0,0.0,0.0,22.0,4.0,4.0,109.52,0.0,0.0,0,58
58,470.0,24.74,3.0,242.58,0.0,35.81,57.51,6.68,1.23,54.55,80.3,69.47,23.48,20.65,1.65,595.0,932.0,16.64,550.0,0.25,71.15,0.0,1.89,77.97,21.0,1.0,37.0,17.0,15.0,22.0,0.0,43.0,29.0,8.0,3.0,10.88,1.83,1.61,0,18
59,620.0,88.57,3.0,2876.2,0.0,57.33,11.12,31.55,2.32,100.0,85.06,305.92,27.04,15.06,1.91,224.0,380.0,32.38,297.0,2.33,44.71,0.0,0.46,63.22,13.0,2.0,39.0,3.0,3.0,18.0,0.0,32.0,29.0,9.0,6.0,686.31,0.46,0.4,0,25
60,300.0,100.0,3.0,451.37,160.69,18.69,30.21,44.44,0.43,98.85,96.55,6.16,22.73,22.73,0.05,214.0,187.0,57.4,357.0,0.68,48.19,3.07,0.72,68.6,11.0,2.0,44.0,11.0,8.0,10.0,3.0,22.0,22.0,5.0,6.0,293.32,0.71,0.34,0,48
61,200.0,50.0,3.0,199.3,0.0,70.68,2.22,27.1,0.75,100.0,0.0,14.17,16.77,22.36,0.2,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.04,0.0,26.0,5.0,60.0,0.0,0.0,0.0,0.0,38.0,20.0,5.0,20.0,18.46,0.03,0.04,0,40
63,400.0,100.0,3.0,0.1,0.0,0.1,54.56,45.34,0.0,51.67,43.33,0.0,14.95,29.38,0.0,38.0,26.0,71.74,13.0,0.0,15.79,0.0,0.14,17.07,24.0,5.0,63.0,51.0,23.0,15.0,0.0,9.0,15.0,4.0,9.0,7.42,1.53,0.25,0,59
64,290.0,41.43,2.0,40.94,0.0,34.59,16.61,48.8,0.76,51.11,86.67,0.0,16.67,16.67,0.0,870.0,101.0,18.55,90.0,1.08,84.38,0.0,0.01,46.15,2.0,0.0,38.0,55.0,46.0,21.0,0.0,1.0,20.0,8.0,3.0,16.84,0.11,0.01,0,45
65,400.0,100.0,3.0,2.28,0.0,0.29,15.44,84.27,0.0,100.0,64.37,0.65,21.86,24.0,0.0,197.0,217.0,32.61,179.0,0.0,31.76,0.0,0.05,27.06,26.0,13.0,57.0,29.0,22.0,33.0,0.0,6.0,12.0,5.0,3.0,176.52,0.2,0.16,0,62
66,300.0,100.0,3.0,232.26,0.0,58.03,33.29,8.69,8.29,15.38,66.15,0.57,20.69,17.24,0.09,103.0,41.0,59.0,53.0,0.65,67.65,0.0,10.47,60.71,21.0,0.0,47.0,30.0,16.0,16.0,0.0,39.0,14.0,4.0,7.0,0.0,0.0,0.0,0,65
67,600.0,200.0,3.0,1750.63,3.39,45.07,8.18,46.66,1.63,100.0,80.46,239.51,22.65,27.54,0.94,92.0,129.0,61.14,216.0,1.88,59.77,0.52,0.15,29.07,24.0,5.0,35.0,20.0,9.0,12.0,31.0,14.0,18.0,7.0,10.0,472.19,0.08,0.06,0,39
68,360.0,32.73,3.0,1599.83,0.0,55.67,3.94,40.39,4.03,58.21,65.67,470.26,23.8,18.37,5.81,229.0,357.0,23.55,298.0,4.01,34.78,0.0,0.74,20.0,20.0,7.0,47.0,49.0,36.0,26.0,0.0,62.0,18.0,7.0,3.0,329.77,0.08,0.03,1,50
69,190.0,27.14,2.0,0.0,0.0,0.0,0.0,100.0,0.0,59.18,28.57,0.0,15.15,24.24,0.0,35.0,32.0,75.38,24.0,0.0,42.86,0.0,0.0,16.67,13.0,2.0,41.0,60.0,22.0,11.0,0.0,0.0,8.0,3.0,6.0,0.26,0.0,0.0,0,42
70,100.0,20.0,1.0,41.52,0.0,50.32,0.0,49.68,0.83,58.82,47.06,0.0,16.67,16.67,0.0,63.0,28.0,50.0,71.0,0.97,50.0,0.0,0.0,45.45,8.0,0.0,24.0,49.0,31.0,10.0,0.0,0.0,7.0,4.0,3.0,2.81,0.0,0.0,0,25
71,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,27.84,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,35.0,0.0,0.0,22.0,0.0,8.0,0.0,0.0,0.0,0,39
72,30.0,30.0,1.0,8.54,0.0,23.05,0.28,76.67,0.05,98.41,3.17,0.18,16.79,17.14,0.0,3.0,21.0,19.23,8.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,42.0,100.0,25.0,50.0,0.0,90.0,8.0,4.0,2.0,19.98,0.0,0.0,0,40
73,650.0,72.22,3.0,4874.5,0.0,74.99,3.83,21.17,6.2,100.0,98.85,861.47,24.08,18.47,4.46,964.0,1578.0,23.1,1225.0,4.25,67.44,0.0,0.44,81.61,25.0,8.0,37.0,26.0,21.0,18.0,0.0,37.0,29.0,7.0,4.0,333.85,0.29,0.06,0,58
74,450.0,90.0,3.0,2928.56,0.0,70.05,9.94,20.01,2.98,100.0,21.95,90.27,25.79,22.73,0.33,28.0,16.0,77.78,2.0,4.03,8.82,0.0,0.5,1.39,28.0,2.0,64.0,67.0,28.0,15.0,0.0,24.0,10.0,6.0,8.0,78.07,0.5,0.61,0,41
75,500.0,55.56,3.0,0.96,0.0,1.23,1.0,97.77,0.02,17.44,94.19,0.0,10.61,46.97,0.0,679.0,286.0,39.79,205.0,0.0,83.56,0.0,0.0,81.43,16.0,1.0,47.0,38.0,24.0,22.0,0.0,0.0,24.0,3.0,8.0,49.73,0.07,0.0,0,30
76,400.0,57.14,3.0,75.15,0.0,72.78,1.29,25.93,0.88,55.88,38.24,1.26,16.0,25.33,0.06,7.0,14.0,60.0,19.0,1.52,37.5,0.0,0.01,14.29,24.0,3.0,34.0,14.0,8.0,13.0,0.0,13.0,11.0,4.0,6.0,0.55,0.0,0.0,0,52
77,400.0,80.0,3.0,1528.08,0.01,77.31,1.05,21.64,1.12,98.85,67.82,178.41,19.47,25.21,1.01,509.0,893.0,15.03,533.0,0.57,41.86,0.0,0.02,33.72,13.0,5.0,43.0,35.0,28.0,37.0,0.0,19.0,23.0,5.0,3.0,95.38,0.04,0.01,0,49
78,600.0,200.0,2.0,859.38,34.19,27.15,3.9,67.87,1.55,98.82,52.94,51.11,20.48,22.87,0.38,209.0,273.0,27.78,174.0,2.3,33.33,0.03,0.14,16.9,24.0,6.0,51.0,60.0,39.0,33.0,85.0,16.0,12.0,5.0,3.0,571.06,0.2,0.25,0,28
79,1030.0,44.78,3.0,9463.76,0.41,88.05,3.36,8.58,12.62,97.7,81.61,1345.63,23.13,22.34,7.12,152.0,84.0,67.94,121.0,10.03,34.12,0.02,0.63,31.71,25.0,1.0,30.0,33.0,12.0,8.0,0.0,24.0,30.0,5.0,18.0,223.71,0.59,0.34,0,32
80,300.0,100.0,3.0,6199.88,0.0,89.09,0.2,10.72,8.26,100.0,98.85,1142.7,15.43,25.07,6.57,2106.0,1172.0,17.29,717.0,8.61,79.31,0.0,0.08,72.09,23.0,1.0,48.0,53.0,45.0,38.0,0.0,68.0,23.0,4.0,4.0,301.2,0.01,0.02,0,52
81,400.0,100.0,3.0,0.66,0.0,0.44,3.97,95.6,0.01,63.22,96.55,0.0,23.65,29.06,0.0,3630.0,233.0,37.53,280.0,0.02,80.0,0.0,0.02,85.9,21.0,8.0,53.0,62.0,54.0,27.0,0.0,6.0,13.0,2.0,4.0,19.25,0.01,0.03,0,43
82,200.0,100.0,2.0,1169.01,0.0,69.69,0.01,30.3,7.4,72.73,61.82,417.55,14.81,24.87,10.71,207.0,24.0,48.94,13.0,0.54,55.17,0.0,0.0,46.88,25.0,9.0,64.0,41.0,32.0,30.0,0.0,55.0,14.0,4.0,6.0,178.9,0.0,0.0,1,44
83,200.0,100.0,2.0,2507.54,0.0,66.48,16.09,17.43,5.61,85.37,48.78,79.59,21.59,23.86,3.79,66.0,193.0,27.99,136.0,5.37,22.22,0.0,1.7,18.0,5.0,5.0,42.0,26.0,14.0,27.0,0.0,15.0,30.0,3.0,7.0,151.48,0.86,0.65,0,45
84,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,1,50
85,300.0,100.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,3.45,81.03,0.0,16.67,16.67,0.0,49.0,103.0,34.39,79.0,0.0,75.0,0.0,0.0,79.49,50.0,0.0,29.0,17.0,9.0,20.0,0.0,0.0,42.0,8.0,15.0,0.0,0.0,0.0,1,41
86,1290.0,47.78,3.0,22254.24,0.0,93.23,1.55,5.22,26.21,100.0,75.86,1161.04,22.74,22.56,9.44,143.0,113.0,48.64,108.0,18.05,42.35,0.0,0.41,29.41,14.0,0.0,42.0,42.0,21.0,21.0,0.0,26.0,18.0,7.0,8.0,355.17,0.39,0.17,1,26
87,400.0,57.14,3.0,3000.72,0.06,82.15,6.22,11.62,5.19,97.7,90.8,236.36,17.83,28.68,2.19,366.0,337.0,39.71,252.0,5.59,62.07,0.0,0.25,47.13,19.0,1.0,38.0,29.0,20.0,21.0,100.0,25.0,31.0,6.0,11.0,128.58,0.24,0.14,0,33
88,450.0,90.0,3.0,3239.69,2.27,80.23,0.65,19.06,6.45,96.51,69.77,94.56,23.28,20.11,2.01,197.0,703.0,29.63,656.0,6.17,40.58,2.05,0.06,23.19,9.0,2.0,49.0,45.0,27.0,29.0,10.0,31.0,16.0,7.0,4.0,186.36,0.04,0.07,0,42
90,720.0,37.89,3.0,9287.97,0.0,76.83,12.09,11.06,11.06,100.0,61.63,1688.9,25.19,19.65,8.66,165.0,242.0,31.44,85.0,7.87,32.94,0.0,2.11,39.29,23.0,4.0,34.0,24.0,16.0,23.0,0.0,32.0,30.0,6.0,9.0,354.81,1.41,1.6,0,21
91,400.0,100.0,3.0,3308.34,0.31,72.75,2.59,24.41,2.79,100.0,91.95,418.43,22.14,21.58,2.93,890.0,713.0,33.24,495.0,2.04,72.41,0.04,0.06,74.12,12.0,2.0,38.0,35.0,23.0,21.0,48.0,11.0,27.0,6.0,7.0,353.63,0.31,0.48,0,43
92,400.0,100.0,3.0,3494.43,0.71,78.72,1.65,19.62,6.64,96.55,71.26,1.57,22.06,23.53,0.1,301.0,259.0,44.18,265.0,7.8,55.13,0.03,0.09,29.79,3.0,0.0,48.0,41.0,26.0,22.0,37.0,10.0,14.0,4.0,5.0,215.47,0.17,0.03,0,36
