,RECHARGE_VALUE,RECHARGE_AVG,COUNT_HAS_RECHARGE,SOCIAL_NETWORK_MB,INSTAGRAM_MB,PERC_SOCIAL_NETWORK_MB,PERC_WHATSAPP_MB,PERC_INTERNET_MB,SOCIAL_NETWORK_MB_BY_SESSION,PERC_DAYS_SOCIAL_NETWORK_OTT,PERC_DAYS_MADE_CALLS_OTT,P1_SOCIAL_NETWORK_MB,P1_PERC_WHATSAPP_SESSIONS,P1_PERC_INTERNET_SESSIONS,P1_SOCIAL_NETWORK_MB_BY_SESSION,P2_MADE_CALLS,P2_MADE_CALLS_DURATION,P2_PERC_RECEIVED_CALLS_DURATION,P3_MADE_CALLS_DURATION,P3_SOCIAL_NETWORK_MB_BY_SESSION,P3_PERC_DAYS_MADE_CALLS_OTT,P4_INSTAGRAM_MB,P4_WHATSAPP_MB_BY_SESSION,P4_PERC_DAYS_MADE_CALLS_OTT,PERC_SOCIAL_NETWORK_SESSIONS_IN_P1,PERC_P1_INTERNET_MB_BY_TOTAL,PERC_RECEIVED_CALLS_DURATION_IN_P2,PERC_MADE_CALLS_IN_P2,PERC_P2_MADE_CALLS_BY_TOTAL,PERC_P2_MADE_CALLS_DURATION_BY_TOTAL,PERC_INSTAGRAM_MB_IN_P3,PERC_WHATSAPP_MB_IN_P4,PERC_RECEIVED_CALLS_DURATION_IN_P4,PERC_P4_WHATSAPP_SESSIONS_BY_TOTAL,PERC_P4_RECEIVED_CALLS_DURATION_BY_TOTAL,WEEKEND_HOLYDAY_INTERNET_MB,WEEKEND_HOLYDAY_WHATSAPP_MB_BY_SESSION,WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION,DEVICE_CAPABILITY_2G,AGE
10644,190.0,38.0,3.0,5.03,0.0,3.8,15.43,80.77,0.04,88.24,17.65,0.14,21.95,21.95,0.02,9.0,56.0,32.53,76.0,0.03,4.76,0.0,0.01,0.0,6.0,3.0,45.0,53.0,23.0,22.0,0.0,2.0,18.0,4.0,4.0,67.6,0.09,0.01,0,32
10645,600.0,35.29,3.0,4400.46,0.0,44.04,48.05,7.91,6.88,100.0,47.3,479.53,24.13,24.3,3.87,247.0,434.0,20.8,231.0,6.84,23.94,0.0,8.09,19.67,19.0,1.0,40.0,35.0,29.0,27.0,0.0,32.0,33.0,6.0,6.0,109.47,8.38,9.67,0,19
10646,230.0,20.91,3.0,0.85,0.0,0.31,68.63,31.06,0.01,69.57,23.91,0.0,25.0,25.0,0.0,2.0,38.0,60.82,25.0,0.04,34.78,0.0,1.17,8.7,5.0,0.0,43.0,3.0,1.0,19.0,0.0,25.0,18.0,8.0,12.0,4.21,1.94,0.09,0,16
10647,110.0,27.5,3.0,111.81,0.0,76.95,7.66,15.39,0.53,100.0,9.86,0.0,17.95,18.8,0.0,5.0,14.0,12.5,11.0,0.13,8.16,0.0,0.05,8.33,17.0,0.0,25.0,20.0,11.0,42.0,0.0,28.0,12.0,5.0,3.0,1.65,0.01,0.02,0,23
10648,590.0,73.75,3.0,29.76,0.02,6.32,26.4,67.25,0.08,79.76,65.48,0.86,26.3,28.52,0.02,217.0,143.0,30.92,127.0,0.16,40.91,0.01,0.23,25.76,10.0,7.0,40.0,44.0,27.0,23.0,0.0,32.0,22.0,8.0,6.0,56.87,0.28,0.18,0,39
10649,550.0,45.83,3.0,7216.35,0.06,91.78,1.71,6.39,10.19,100.0,8.05,1016.82,21.07,19.94,12.25,10.0,117.0,39.69,33.0,4.76,1.18,0.0,0.28,5.81,12.0,0.0,53.0,56.0,26.0,30.0,17.0,44.0,24.0,7.0,9.0,160.33,0.26,0.35,0,16
10650,330.0,27.5,3.0,0.0,0.0,0.0,0.0,100.0,0.0,2.22,60.0,0.0,0.0,0.0,0.0,26.0,278.0,34.43,190.0,0.0,50.0,0.0,0.0,73.08,0.0,0.0,41.0,14.0,8.0,25.0,0.0,0.0,21.0,14.0,7.0,0.07,0.0,0.0,0,41
10652,150.0,30.0,3.0,7.68,0.0,5.83,41.19,52.98,0.09,69.05,16.67,1.03,24.72,20.22,0.06,3.0,420.0,25.93,236.0,0.27,12.5,0.0,0.69,6.9,18.0,4.0,24.0,23.0,8.0,18.0,0.0,66.0,44.0,11.0,11.0,3.95,0.07,0.03,0,30
10654,50.0,50.0,1.0,530.13,0.0,78.96,0.31,20.73,1.53,100.0,8.05,116.93,16.7,20.09,1.54,7.0,58.0,58.57,27.0,1.1,5.56,0.0,0.0,4.71,22.0,4.0,59.0,26.0,10.0,24.0,0.0,2.0,15.0,4.0,9.0,57.65,0.0,0.0,0,16
10656,200.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.78,0.0,0.0,0.0,0.0,188.0,285.0,41.48,163.0,0.0,68.63,0.0,0.0,54.84,0.0,0.0,50.0,36.0,21.0,30.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,1,52
10657,350.0,87.5,3.0,2557.35,0.0,76.57,0.29,23.14,5.48,91.14,70.89,294.88,21.32,21.32,2.44,200.0,110.0,38.89,36.0,4.82,44.44,0.0,0.01,25.0,26.0,3.0,53.0,41.0,26.0,37.0,0.0,7.0,14.0,3.0,6.0,97.37,0.02,0.01,0,52
10658,440.0,36.67,3.0,4882.37,2.91,81.76,7.3,10.89,8.08,95.4,66.67,415.1,20.04,21.86,3.88,215.0,274.0,23.03,134.0,5.17,30.38,1.17,1.28,34.57,18.0,2.0,38.0,16.0,13.0,34.0,18.0,53.0,25.0,6.0,7.0,137.68,0.85,1.21,0,25
10659,,,,0.0,0.0,0.0,14.4,85.6,0.0,50.0,16.67,0.0,0.0,0.0,0.0,1.0,60.0,11.76,111.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,20.0,25.0,7.0,12.0,0.0,0.0,38.0,15.0,3.0,0.0,0.0,0.0,0,26
10660,170.0,28.33,3.0,191.57,0.0,57.76,7.0,35.24,2.37,90.91,25.0,0.0,16.67,16.67,0.0,39.0,92.0,29.77,128.0,3.01,40.0,0.0,0.34,36.84,5.0,0.0,34.0,6.0,6.0,9.0,0.0,21.0,33.0,3.0,4.0,40.99,0.03,0.0,0,18
10661,580.0,82.86,3.0,1670.15,0.04,60.7,8.86,30.43,2.16,97.65,67.06,275.51,24.33,19.75,1.57,95.0,141.0,31.55,33.0,2.61,25.0,0.0,0.31,45.0,23.0,3.0,29.0,20.0,13.0,29.0,100.0,26.0,32.0,7.0,15.0,126.51,0.46,0.39,0,25
10662,60.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,0.0,16.67,16.67,0.0,18.0,443.0,22.28,51.0,0.0,14.29,0.0,0.0,14.29,21.0,0.0,84.0,56.0,29.0,68.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,1,44
10663,150.0,18.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,36.36,0.0,0.0,0.0,0.0,8.0,9.0,85.25,8.0,0.0,7.69,0.0,0.0,29.41,0.0,0.0,31.0,27.0,4.0,4.0,0.0,0.0,36.0,17.0,25.0,0.0,0.0,0.0,1,36
10664,520.0,86.67,3.0,1705.1,181.4,31.43,39.58,25.65,2.15,98.82,57.65,152.24,21.33,25.52,2.06,98.0,258.0,26.91,214.0,2.09,24.36,30.9,3.27,27.03,9.0,4.0,42.0,27.0,16.0,20.0,1.0,36.0,31.0,8.0,5.0,360.76,4.72,4.85,0,21
10665,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,38
10666,290.0,41.43,3.0,1007.59,2.25,62.38,21.47,15.97,2.74,72.86,21.43,243.31,23.91,16.62,2.97,6.0,165.0,44.82,61.0,2.03,5.88,1.05,1.16,8.16,22.0,2.0,36.0,38.0,5.0,23.0,15.0,30.0,29.0,6.0,15.0,65.85,1.04,1.41,0,35
10667,500.0,50.0,3.0,1377.71,0.0,64.29,27.09,8.52,1.77,100.0,62.07,64.14,22.08,21.65,1.23,118.0,91.0,31.58,51.0,1.35,33.33,0.0,0.75,34.62,7.0,0.0,45.0,26.0,18.0,30.0,0.0,33.0,27.0,8.0,8.0,48.53,0.32,0.56,1,36
10668,790.0,71.82,3.0,1806.15,128.97,43.15,24.6,29.16,2.63,100.0,87.36,126.54,22.38,20.07,1.0,500.0,415.0,16.33,284.0,3.22,59.52,32.73,1.06,63.89,18.0,5.0,33.0,20.0,17.0,25.0,57.0,17.0,35.0,6.0,5.0,254.54,2.59,1.16,0,21
