,RECHARGE_VALUE,RECHARGE_AVG,MIN_RECHARGE_AVG,INSTAGRAM_MB,P2_MADE_CALLS,P2_PERC_DAYS_SOCIAL_NETWORK_OTT,P4_PERC_WHATSAPP_MB,PERC_INTERNET_SESSIONS_IN_P1,PERC_RECEIVED_CALLS_DURATION_IN_P2,WEEKDAY_PERC_INTERNET_MB,WEEKDAY_P23_INSTAGRAM_MB,WEEKDAY_P23_PERC_WHATSAPP_SESSIONS,WEEKEND_HOLYDAY_P14_PERC_WHATSAPP_MB,WEEKEND_HOLYDAY_P14_PERC_BANK_SESSIONS,WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION,DEVICE_CAPABILITY_2G
5072,,,,0.0,0.0,100.0,0.0,33.0,0.0,0.0,0.0,16.67,0.0,16.67,0.0,0
5073,470.0,36.15,22.0,0.0,273.0,100.0,23.59,22.0,36.0,12.57,0.0,25.32,34.43,12.46,0.57,0
5075,450.0,50.0,50.0,0.0,212.0,35.42,13.27,36.0,35.0,45.72,0.0,19.77,7.81,11.33,0.18,0
5076,250.0,83.33,50.0,0.0,50.0,100.0,2.04,7.0,34.0,24.97,0.0,28.55,2.08,8.81,0.06,0
5077,650.0,65.0,62.5,0.0,211.0,98.82,0.03,22.0,20.0,12.41,0.0,17.5,0.04,11.65,0.0,0
5078,100.0,50.0,50.0,0.0,3.0,89.09,1.71,24.0,16.0,2.9,0.0,22.4,1.0,12.71,0.02,0
5079,150.0,50.0,50.0,0.0,380.0,70.0,0.89,31.0,20.0,27.59,0.0,20.0,0.69,8.99,0.04,0
5080,420.0,52.5,50.0,0.0,25.0,80.36,2.39,14.0,48.0,36.13,0.0,24.32,3.77,8.09,0.0,1
5081,,,,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5082,400.0,100.0,100.0,0.53,17.0,97.73,47.59,30.0,23.0,33.34,0.01,22.35,25.34,9.58,0.52,0
5084,350.0,87.5,50.0,4.81,2.0,86.21,7.23,17.0,19.0,6.73,0.0,22.75,0.59,10.11,0.06,0
5085,500.0,100.0,100.0,0.0,357.0,68.29,2.37,9.0,37.0,9.99,0.0,23.26,1.55,10.86,0.26,0
5086,400.0,80.0,50.0,0.0,67.0,6.06,0.0,9.0,53.0,100.0,0.0,16.67,0.0,13.64,0.0,0
5087,670.0,23.93,23.75,0.0,40.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5088,40.0,20.0,20.0,0.0,0.0,96.67,1.46,12.0,40.0,75.69,0.0,20.66,1.49,13.69,0.01,0
5089,300.0,75.0,75.0,29.74,76.0,92.06,33.64,20.0,41.0,27.8,5.64,24.85,36.9,7.35,2.6,0
5091,50.0,50.0,50.0,0.0,11.0,33.33,0.0,43.0,61.0,100.0,0.0,16.13,0.0,16.67,0.0,1
5092,600.0,54.55,50.0,0.0,19.0,39.39,11.5,13.0,54.0,89.68,0.0,18.61,24.06,11.11,0.11,0
5093,400.0,100.0,100.0,0.0,24.0,62.75,1.62,14.0,58.0,60.96,0.0,23.03,2.53,12.28,0.01,0
5094,350.0,87.5,75.0,0.0,263.0,84.85,10.11,16.0,36.0,13.41,0.0,23.11,7.4,11.24,0.51,0
5095,20.0,20.0,20.0,0.0,0.0,50.0,0.0,8.0,42.0,0.0,0.0,16.67,0.0,16.67,0.0,1
5096,450.0,112.5,100.0,0.05,152.0,100.0,7.48,24.0,48.0,20.44,0.01,28.76,4.74,6.09,0.12,0
5097,200.0,50.0,50.0,0.0,0.0,86.67,14.2,23.0,28.0,35.26,0.0,23.4,13.53,8.74,0.22,0
5098,150.0,75.0,50.0,0.0,22.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5099,330.0,82.5,65.0,0.0,265.0,87.14,4.46,19.0,46.0,18.07,0.0,22.94,1.09,10.55,0.06,0
5100,440.0,44.0,40.0,0.01,37.0,100.0,13.42,25.0,65.0,10.76,0.01,23.83,8.02,9.86,0.91,0
5101,450.0,90.0,75.0,0.33,58.0,98.73,9.12,17.0,43.0,8.81,0.33,24.06,14.29,11.08,1.03,0
5102,600.0,54.55,50.0,0.0,400.0,98.85,10.21,12.0,36.0,11.36,0.0,24.83,10.81,9.77,0.55,0
5103,,,,0.0,0.0,0.0,0.0,100.0,43.0,0.0,0.0,0.0,0.0,16.67,0.0,0
5104,2330.0,29.87,25.88,0.14,823.0,98.85,15.94,23.0,40.0,26.44,0.13,24.16,9.44,8.62,1.07,0
5105,340.0,30.91,20.0,0.0,3.0,92.16,35.05,10.0,44.0,24.97,0.0,36.42,41.99,8.43,2.1,0
5107,20.0,20.0,20.0,0.0,1.0,63.64,96.92,21.0,38.0,23.5,0.0,17.54,100.0,14.29,0.0,0
5108,110.0,22.0,20.0,0.0,8.0,57.14,64.34,5.0,49.0,18.8,0.0,23.0,62.91,8.7,1.17,0
5109,,,,0.0,0.0,0.0,,0.0,100.0,0.0,0.0,0.0,,,,0
5110,500.0,100.0,100.0,0.24,65.0,85.71,0.02,12.0,29.0,25.24,0.24,13.9,0.0,10.42,0.0,0
5111,30.0,30.0,30.0,0.0,9.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5112,240.0,30.0,25.0,0.0,41.0,70.37,1.54,17.0,29.0,3.29,0.0,27.62,3.51,9.47,0.09,0
5113,100.0,100.0,100.0,0.0,206.0,100.0,1.87,24.0,29.0,5.63,0.0,19.91,2.85,14.18,0.2,0
5116,550.0,110.0,100.0,0.0,182.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5118,1080.0,67.5,63.33,0.28,96.0,98.78,3.65,25.0,35.0,6.88,0.22,26.41,2.57,7.21,0.22,0
5119,100.0,100.0,100.0,0.0,39.0,75.0,1.56,23.0,19.0,58.68,0.0,19.39,1.1,7.37,0.04,0
5120,270.0,54.0,50.0,0.26,126.0,70.83,6.3,30.0,31.0,10.43,0.26,22.7,7.8,8.42,0.6,0
5121,50.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5122,420.0,84.0,60.0,1.42,65.0,97.06,0.48,10.0,56.0,70.31,0.0,21.97,0.0,14.47,0.0,0
5123,400.0,100.0,100.0,0.0,221.0,98.82,14.07,22.0,41.0,46.72,0.0,21.47,10.98,9.68,0.03,0
5124,510.0,39.23,25.71,0.0,252.0,98.65,12.43,17.0,32.0,25.18,0.0,28.33,7.58,11.33,0.19,0
5125,300.0,100.0,100.0,0.0,0.0,98.04,2.31,6.0,71.0,98.01,0.0,26.25,17.72,12.28,0.07,0
5126,170.0,24.29,10.0,0.0,15.0,100.0,12.47,18.0,35.0,12.3,0.0,18.3,3.41,13.08,0.21,0
5128,420.0,46.67,40.0,0.68,541.0,96.1,6.57,18.0,37.0,61.12,0.16,20.85,4.84,11.29,0.09,0
5130,100.0,100.0,100.0,0.0,7.0,66.67,0.0,0.0,33.0,37.79,0.0,23.49,0.0,0.0,0.0,0
5131,180.0,30.0,30.0,0.0,103.0,30.0,0.0,0.0,40.0,100.0,0.0,16.22,0.0,16.67,0.0,0
5132,550.0,50.0,50.0,0.0,100.0,100.0,16.85,20.0,49.0,48.03,0.0,28.83,29.24,10.2,0.28,0
5133,30.0,30.0,30.0,0.09,5.0,100.0,32.75,28.0,25.0,79.04,0.0,17.28,3.6,16.22,0.0,0
5135,290.0,41.43,20.0,0.0,85.0,100.0,13.54,23.0,40.0,50.73,0.0,16.36,27.57,14.24,0.24,1
5137,400.0,100.0,100.0,11.67,201.0,79.73,1.81,12.0,27.0,23.36,9.08,21.31,1.36,9.82,0.11,0
5138,140.0,35.0,13.33,0.0,21.0,100.0,34.56,22.0,42.0,28.87,0.0,30.08,31.93,10.28,0.57,0
5140,480.0,40.0,36.67,0.0,85.0,100.0,74.87,15.0,26.0,10.58,0.0,29.64,78.86,4.63,0.23,1
5141,40.0,20.0,20.0,0.0,4.0,90.0,1.63,6.0,28.0,54.48,0.0,25.0,0.0,16.67,0.0,0
5142,20.0,20.0,20.0,0.0,1.0,100.0,0.06,18.0,31.0,5.67,0.0,17.62,0.0,15.94,0.0,0
5143,650.0,50.0,50.0,0.0,655.0,100.0,3.34,20.0,46.0,6.38,0.0,26.35,4.32,10.17,0.64,0
5144,920.0,38.33,32.5,1.46,67.0,98.55,11.54,22.0,20.0,13.69,1.46,25.25,9.22,9.19,0.3,0
5145,50.0,50.0,50.0,0.0,55.0,41.18,0.02,15.0,29.0,0.0,0.0,22.89,0.03,11.11,0.01,0
5146,280.0,70.0,40.0,0.01,23.0,98.81,45.5,21.0,27.0,13.53,0.01,21.4,37.13,10.9,1.74,0
5147,460.0,76.67,53.33,1.05,236.0,98.8,16.44,9.0,56.0,17.21,1.02,28.22,16.44,5.65,0.32,0
5149,600.0,150.0,100.0,0.0,73.0,93.1,47.51,23.0,48.0,72.07,0.0,26.45,59.16,12.97,1.4,0
5151,170.0,34.0,30.0,0.0,7.0,12.5,0.0,50.0,31.0,21.63,0.0,25.0,0.0,0.0,0.0,0
5152,,,,0.0,103.0,100.0,17.68,4.0,51.0,52.78,0.0,29.98,22.15,10.71,0.04,0
5154,200.0,50.0,50.0,0.0,134.0,54.55,11.78,22.0,42.0,45.21,0.0,24.14,61.04,10.53,1.06,0
5155,400.0,100.0,100.0,0.0,697.0,1.3,0.0,25.0,52.0,100.0,0.0,11.76,0.0,0.0,0.0,0
5156,570.0,81.43,60.0,0.0,300.0,92.0,39.5,25.0,26.0,24.51,0.0,23.08,37.16,9.91,0.87,0
5157,750.0,93.75,83.33,4.2,1369.0,96.55,1.45,11.0,48.0,22.36,2.84,21.47,4.49,11.03,0.37,0
5158,400.0,100.0,100.0,0.0,169.0,100.0,12.38,23.0,43.0,82.54,0.0,25.68,12.4,12.77,0.11,0
5159,50.0,50.0,50.0,0.0,7.0,45.45,4.2,7.0,22.0,38.4,0.0,23.53,5.02,7.89,0.11,0
5160,250.0,27.78,25.0,0.0,39.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5161,190.0,23.75,20.0,0.0,18.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5162,500.0,55.56,50.0,0.0,1168.0,84.52,6.89,19.0,47.0,9.66,0.0,24.12,47.5,11.11,0.78,0
5163,70.0,17.5,16.67,0.0,0.0,100.0,32.12,26.0,26.0,69.29,0.0,21.16,65.75,13.86,0.01,0
5165,250.0,50.0,50.0,0.0,403.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5166,200.0,50.0,50.0,0.0,248.0,72.09,0.0,11.0,47.0,30.7,0.0,9.79,0.0,11.11,0.0,0
5167,70.0,35.0,35.0,0.0,82.0,70.0,0.21,17.0,35.0,34.32,0.0,20.62,0.18,11.11,0.04,0
5168,1050.0,32.81,31.43,0.18,278.0,100.0,10.26,19.0,38.0,4.15,0.05,27.7,14.35,10.28,2.49,0
5169,280.0,25.45,20.0,0.0,51.0,60.61,25.28,12.0,30.0,72.35,0.0,19.58,21.17,13.4,0.05,0
5170,300.0,100.0,100.0,5.37,91.0,86.67,0.02,17.0,45.0,6.92,3.95,16.88,0.02,10.79,0.0,0
5171,220.0,36.67,30.0,0.04,78.0,61.11,33.34,29.0,47.0,21.2,0.04,21.76,28.5,11.9,1.86,0
5172,630.0,45.0,37.5,0.51,124.0,96.39,5.11,16.0,40.0,6.88,0.2,22.57,3.73,11.58,0.64,0
