,RECHARGE_VALUE,RECHARGE_AVG,MIN_RECHARGE_AVG,INSTAGRAM_MB,P2_MADE_CALLS,P2_PERC_DAYS_SOCIAL_NETWORK_OTT,P4_PERC_WHATSAPP_MB,PERC_INTERNET_SESSIONS_IN_P1,PERC_RECEIVED_CALLS_DURATION_IN_P2,WEEKDAY_PERC_INTERNET_MB,WEEKDAY_P23_INSTAGRAM_MB,WEEKDAY_P23_PERC_WHATSAPP_SESSIONS,WEEKEND_HOLYDAY_P14_PERC_WHATSAPP_MB,WEEKEND_HOLYDAY_P14_PERC_BANK_SESSIONS,WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION,DEVICE_CAPABILITY_2G
0,440.0,62.86,46.67,0.01,115.0,93.98,11.41,9.0,43.0,18.98,0.0,23.1,13.94,10.51,0.1,0
1,50.0,16.67,15.0,0.0,2.0,44.44,14.07,11.0,40.0,78.8,0.0,24.36,82.11,12.7,0.11,0
2,550.0,61.11,50.0,0.02,259.0,62.5,0.0,24.0,37.0,18.51,0.02,11.32,0.0,11.6,0.0,0
3,400.0,100.0,100.0,0.0,355.0,31.43,0.53,6.0,54.0,26.91,0.0,21.49,3.36,10.24,0.27,0
4,410.0,82.0,70.0,0.0,474.0,29.03,0.29,11.0,19.0,37.45,0.0,18.85,0.4,10.29,0.01,0
5,600.0,100.0,100.0,0.0,521.0,97.62,3.18,21.0,48.0,26.0,0.0,22.99,0.46,10.28,0.04,0
6,190.0,47.5,20.0,0.0,14.0,84.09,70.68,4.0,51.0,32.32,0.0,27.35,92.72,12.35,0.47,0
7,,,,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,16.67,0.0,0.0,0.0,0
8,400.0,100.0,100.0,0.16,149.0,44.16,39.97,6.0,50.0,76.88,0.08,21.5,46.81,10.14,0.52,0
9,550.0,61.11,50.0,0.0,536.0,36.36,0.4,40.0,26.0,15.06,0.0,19.08,0.39,10.74,0.02,0
10,320.0,80.0,73.33,0.0,839.0,90.91,90.13,17.0,51.0,14.47,0.0,24.25,76.16,11.46,1.18,0
11,,,,0.0,0.0,100.0,10.0,27.0,56.0,90.86,0.0,17.29,0.0,15.05,0.0,0
12,650.0,54.17,50.0,0.0,267.0,85.53,3.13,35.0,39.0,6.15,0.0,25.61,1.71,6.9,0.21,0
13,500.0,125.0,100.0,0.0,119.0,98.7,3.31,14.0,41.0,59.77,0.0,23.08,5.08,8.81,0.24,0
14,500.0,100.0,100.0,0.0,72.0,100.0,0.43,24.0,11.0,21.91,0.0,22.28,0.35,12.54,0.01,0
15,,,,0.0,0.0,100.0,0.0,0.0,55.0,0.0,0.0,16.67,0.0,0.0,0.0,0
16,500.0,83.33,75.0,0.0,708.0,95.06,3.2,21.0,35.0,11.61,0.0,29.05,2.29,8.99,0.15,0
17,90.0,30.0,30.0,0.0,25.0,82.35,4.13,14.0,57.0,24.77,0.0,25.98,0.8,3.77,0.03,0
20,430.0,61.43,60.0,0.0,36.0,100.0,2.77,24.0,57.0,9.65,0.0,24.11,4.37,10.84,0.37,0
23,,,,0.0,0.0,100.0,81.84,23.0,0.0,18.26,0.0,15.11,4.76,15.48,0.0,0
24,550.0,50.0,50.0,0.0,398.0,100.0,11.1,20.0,35.0,16.64,0.0,23.3,3.64,9.66,0.12,0
25,400.0,100.0,100.0,0.0,433.0,26.98,1.55,7.0,36.0,57.94,0.0,21.01,4.96,9.52,0.03,1
26,170.0,34.0,30.0,0.0,261.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1
28,600.0,200.0,200.0,1.76,407.0,98.85,0.8,18.0,46.0,22.24,1.7,19.43,0.45,10.67,0.03,0
29,160.0,14.55,10.0,0.0,18.0,52.63,0.0,18.0,31.0,99.99,0.0,16.27,0.0,15.79,0.0,0
30,916.1,57.26,40.0,31.28,352.0,95.12,12.91,23.0,47.0,14.87,2.27,20.68,9.99,10.26,0.57,0
31,400.0,100.0,100.0,0.0,904.0,53.09,6.63,11.0,30.0,16.19,0.0,23.2,5.65,10.05,1.5,0
32,100.0,50.0,50.0,0.0,2.0,84.62,0.19,5.0,46.0,4.36,0.0,22.03,0.27,11.11,0.04,0
33,300.0,100.0,100.0,0.0,30.0,100.0,0.14,18.0,20.0,24.97,0.0,18.93,0.09,10.97,0.0,0
34,200.0,100.0,100.0,1.89,56.0,77.08,0.41,23.0,34.0,6.16,1.26,23.29,0.96,12.12,0.17,0
35,250.0,62.5,50.0,0.0,5.0,96.67,0.64,15.0,20.0,27.25,0.0,18.38,1.26,10.45,0.04,0
36,630.0,157.5,30.0,0.08,54.0,100.0,5.27,26.0,37.0,15.26,0.08,23.65,5.33,11.66,0.26,0
37,360.0,36.0,13.33,0.13,86.0,98.77,23.59,2.0,56.0,9.24,0.13,21.99,21.12,14.12,0.07,0
39,100.0,50.0,50.0,0.0,65.0,89.66,2.65,16.0,35.0,1.2,0.0,17.22,3.64,13.24,0.32,0
40,400.0,100.0,100.0,0.04,207.0,83.13,0.55,6.0,48.0,48.3,0.04,22.87,0.13,11.11,0.0,0
41,570.0,43.85,40.0,2.24,14.0,75.68,6.73,16.0,42.0,19.06,0.62,22.11,2.76,8.84,0.04,0
43,520.0,86.67,73.33,0.45,1045.0,97.7,2.26,23.0,56.0,17.07,0.0,24.15,1.33,11.16,0.2,0
44,800.0,61.54,50.0,0.47,145.0,6.67,0.0,15.0,32.0,79.47,0.47,11.11,0.0,0.0,0.0,0
45,60.0,20.0,20.0,0.0,0.0,97.78,16.71,20.0,35.0,42.44,0.0,18.16,9.83,14.12,0.09,0
46,300.0,50.0,50.0,0.0,358.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1
47,780.0,111.43,60.0,0.0,7.0,97.65,1.17,24.0,35.0,10.45,0.0,23.2,1.07,11.22,0.04,0
48,400.0,50.0,50.0,5.59,0.0,100.0,8.45,23.0,47.0,18.36,0.0,25.1,27.14,4.11,0.11,0
50,30.0,30.0,30.0,0.0,1.0,96.97,43.01,18.0,33.0,34.14,0.0,17.17,26.09,15.08,0.13,1
51,430.0,61.43,40.0,0.0,76.0,100.0,13.11,24.0,39.0,20.43,0.0,21.17,12.46,11.97,0.41,0
52,100.0,100.0,100.0,0.0,398.0,97.96,16.43,10.0,46.0,49.33,0.0,25.57,16.95,10.56,0.25,0
53,1150.0,76.67,57.5,38.47,152.0,93.33,2.1,9.0,66.0,37.7,29.12,23.69,1.63,9.38,0.37,0
54,300.0,100.0,100.0,0.0,289.0,88.89,0.0,19.0,41.0,99.69,0.0,13.9,0.0,14.55,0.0,0
55,400.0,100.0,100.0,18.08,125.0,65.45,0.91,21.0,59.0,11.6,14.65,21.1,1.8,11.82,0.41,0
56,600.0,200.0,200.0,38.27,195.0,100.0,0.92,23.0,53.0,20.83,34.03,23.59,0.81,11.06,0.02,0
57,850.0,94.44,83.33,0.0,263.0,100.0,0.0,25.0,45.0,99.52,0.0,14.5,0.0,14.55,0.0,0
58,470.0,24.74,22.5,0.0,595.0,61.82,50.73,22.0,37.0,7.46,0.0,24.81,57.53,12.35,1.61,0
59,620.0,88.57,73.33,0.0,224.0,100.0,10.35,12.0,39.0,27.25,0.0,29.68,8.32,7.41,0.4,0
60,300.0,100.0,100.0,160.69,214.0,92.94,26.2,11.0,44.0,46.55,144.61,26.71,13.97,9.25,0.34,0
61,200.0,50.0,50.0,0.0,0.0,100.0,2.88,27.0,60.0,25.03,0.0,17.89,2.89,13.02,0.04,0
63,400.0,100.0,100.0,0.0,38.0,67.44,40.19,26.0,63.0,98.55,0.0,16.27,48.69,12.82,0.25,0
64,290.0,41.43,40.0,0.0,870.0,20.0,0.78,2.0,38.0,50.32,0.0,22.0,0.45,12.12,0.01,0
65,400.0,100.0,100.0,0.0,197.0,98.85,9.38,24.0,57.0,84.58,0.0,21.94,24.37,11.79,0.16,0
66,300.0,100.0,100.0,0.0,103.0,8.16,65.41,22.0,47.0,8.69,0.0,23.19,0.0,16.67,0.0,0
67,600.0,200.0,200.0,3.39,92.0,98.85,3.85,25.0,35.0,43.67,2.15,22.79,2.23,7.36,0.06,0
68,360.0,32.73,25.0,0.0,229.0,67.86,6.53,23.0,47.0,38.63,0.0,23.26,0.37,10.11,0.03,1
69,190.0,27.14,22.5,0.0,35.0,51.43,0.0,15.0,41.0,100.0,0.0,16.19,0.0,16.0,0.0,0
70,100.0,20.0,20.0,0.0,63.0,55.56,0.0,8.0,24.0,72.71,0.0,9.09,0.0,13.64,0.0,0
71,,,,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0
72,30.0,30.0,30.0,0.0,3.0,100.0,0.24,24.0,42.0,50.6,0.0,16.45,0.16,16.15,0.0,0
73,650.0,72.22,65.0,0.0,964.0,100.0,4.24,25.0,37.0,23.86,0.0,23.47,0.68,10.6,0.06,0
74,450.0,90.0,75.0,0.0,28.0,100.0,19.81,27.0,64.0,21.07,0.0,25.23,45.68,8.62,0.61,0
75,500.0,55.56,50.0,0.0,679.0,17.07,0.0,29.0,47.0,99.16,0.0,13.19,0.0,13.33,0.0,0
76,400.0,57.14,50.0,0.0,7.0,50.0,1.85,23.0,34.0,25.61,0.0,22.41,1.13,12.0,0.0,0
77,400.0,80.0,50.0,0.01,509.0,100.0,0.45,13.0,43.0,24.18,0.01,20.81,0.33,8.61,0.01,0
78,600.0,200.0,200.0,34.19,209.0,97.47,4.04,24.0,51.0,66.14,34.15,22.64,5.43,11.36,0.25,0
79,1030.0,44.78,41.43,0.41,152.0,83.91,2.81,25.0,30.0,8.72,0.38,24.16,2.74,10.1,0.34,0
80,300.0,100.0,100.0,0.0,2106.0,100.0,0.67,24.0,48.0,8.72,0.0,15.49,0.15,11.32,0.02,0
81,400.0,100.0,100.0,0.0,3630.0,54.65,23.58,21.0,53.0,95.11,0.0,26.15,34.78,12.5,0.03,0
82,200.0,100.0,100.0,0.0,207.0,56.1,0.01,27.0,64.0,27.39,0.0,14.02,0.01,12.12,0.0,1
83,200.0,100.0,100.0,0.0,66.0,84.85,11.07,5.0,42.0,15.36,0.0,22.2,4.56,9.72,0.65,0
84,,,,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1
85,300.0,100.0,100.0,0.0,49.0,0.0,0.0,50.0,29.0,100.0,0.0,0.0,0.0,0.0,0.0,1
86,1290.0,47.78,46.25,0.0,143.0,100.0,1.02,15.0,42.0,5.14,0.0,23.92,0.62,8.93,0.17,1
87,400.0,57.14,50.0,0.06,366.0,97.67,4.91,15.0,38.0,10.07,0.06,23.04,7.88,9.42,0.14,0
88,450.0,90.0,75.0,2.27,197.0,78.21,0.56,10.0,49.0,19.27,0.22,23.95,0.71,10.58,0.07,0
90,720.0,37.89,28.75,0.0,165.0,98.84,12.16,23.0,34.0,10.39,0.0,26.14,12.12,9.5,1.6,0
91,400.0,100.0,100.0,0.31,890.0,97.7,1.03,12.0,38.0,26.88,0.22,24.23,5.28,8.06,0.48,0
92,400.0,100.0,100.0,0.71,301.0,96.3,0.91,3.0,48.0,20.45,0.68,23.94,0.34,10.29,0.03,0
93,300.0,100.0,100.0,0.0,220.0,0.0,0.0,0.0,49.0,100.0,0.0,0.0,0.0,0.0,0.0,0
94,700.0,63.64,50.0,0.0,191.0,90.79,0.12,15.0,29.0,18.51,0.0,22.95,0.13,8.78,0.02,0
95,570.0,47.5,42.5,0.07,849.0,91.03,1.93,16.0,35.0,15.53,0.01,23.87,1.19,10.22,0.06,0
96,200.0,100.0,100.0,0.0,296.0,4.55,0.0,17.0,39.0,90.83,0.0,20.0,0.0,16.67,0.0,0
98,200.0,66.67,50.0,5.31,2.0,100.0,18.85,20.0,35.0,13.46,0.7,18.44,4.9,13.43,0.06,0
99,430.0,43.0,30.0,3.87,84.0,85.29,24.6,10.0,42.0,20.12,2.8,25.0,27.93,10.0,0.89,0
101,570.0,81.43,60.0,0.0,5.0,98.68,18.79,21.0,36.0,20.43,0.0,23.68,13.51,14.45,0.04,0
102,380.0,47.5,40.0,91.92,5.0,100.0,38.42,19.0,23.0,7.68,81.52,26.04,25.21,7.58,3.96,0
103,580.0,41.43,40.0,0.0,347.0,97.33,6.83,20.0,43.0,12.08,0.0,27.38,7.2,11.78,0.33,0
104,260.0,28.89,20.0,6.83,44.0,100.0,3.69,23.0,45.0,39.3,2.42,23.4,17.2,12.7,0.11,0
105,140.0,35.0,30.0,0.0,0.0,100.0,70.24,34.0,26.0,23.12,0.0,26.16,18.08,10.64,0.04,0
106,200.0,100.0,100.0,0.0,431.0,84.75,0.28,24.0,44.0,29.14,0.0,23.46,0.19,12.13,0.04,0
107,500.0,62.5,50.0,0.0,185.0,85.92,9.84,17.0,45.0,7.95,0.0,23.43,10.38,10.27,1.72,0
108,300.0,25.0,18.18,0.0,197.0,11.11,0.0,14.0,39.0,38.63,0.0,13.41,0.0,10.71,0.0,0
109,700.0,116.67,100.0,0.0,115.0,88.89,0.84,22.0,58.0,19.39,0.0,22.7,2.77,11.01,0.28,0
110,400.0,133.33,100.0,25.97,81.0,89.04,0.82,24.0,24.0,20.63,24.79,18.88,0.06,10.9,0.01,0
111,450.0,32.14,30.0,0.0,71.0,38.1,8.65,11.0,34.0,79.94,0.0,21.76,7.78,11.51,0.18,0
112,460.0,57.5,47.5,0.0,482.0,97.7,40.5,22.0,45.0,54.5,0.0,24.1,55.49,11.37,1.1,0
113,130.0,43.33,40.0,0.0,1.0,88.89,34.08,6.0,21.0,12.41,0.0,26.96,27.98,9.09,0.1,0
114,450.0,75.0,66.67,164.91,78.0,94.03,6.12,6.0,31.0,11.27,132.91,21.61,1.56,10.59,0.05,0
115,500.0,100.0,100.0,0.11,471.0,88.89,9.38,22.0,32.0,44.62,0.07,22.27,6.87,9.66,0.3,0
117,500.0,100.0,100.0,5.88,72.0,100.0,7.54,24.0,13.0,14.12,2.11,22.35,10.95,9.75,0.89,0
118,500.0,125.0,100.0,0.03,91.0,97.5,10.93,23.0,40.0,24.22,0.03,30.94,12.03,4.38,0.3,0
119,1110.0,55.5,40.0,0.06,432.0,93.83,1.39,18.0,27.0,31.09,0.0,22.2,1.05,9.09,0.08,0
120,850.0,50.0,50.0,0.0,71.0,79.31,0.25,21.0,32.0,7.97,0.0,17.28,0.17,12.25,0.04,0
121,540.0,77.14,58.0,0.09,411.0,81.08,11.67,20.0,29.0,32.11,0.09,22.33,11.33,10.28,1.33,0
122,200.0,50.0,50.0,0.05,0.0,100.0,1.38,21.0,31.0,2.95,0.02,27.97,0.72,10.92,0.05,0
123,400.0,50.0,50.0,0.03,398.0,51.67,0.72,18.0,40.0,34.2,0.0,25.2,0.73,3.94,0.04,0
124,50.0,50.0,50.0,0.0,20.0,80.0,0.19,2.0,48.0,6.56,0.0,21.43,0.18,8.96,0.01,0
125,400.0,100.0,100.0,0.06,820.0,38.27,1.18,3.0,49.0,22.15,0.03,23.9,0.25,9.38,0.03,0
126,,,,0.0,19.0,98.82,0.94,23.0,39.0,22.63,0.0,17.57,0.34,15.89,0.01,0
127,100.0,100.0,100.0,0.0,29.0,100.0,0.41,11.0,36.0,21.87,0.0,17.8,0.09,11.03,0.01,0
128,500.0,41.67,36.67,0.0,356.0,36.0,1.0,19.0,51.0,82.52,0.0,18.94,0.26,11.82,0.0,0
129,400.0,100.0,100.0,0.0,226.0,18.0,0.0,23.0,44.0,100.0,0.0,14.14,0.0,14.29,0.0,0
130,,,,0.0,0.0,100.0,100.0,28.0,0.0,34.45,0.0,16.46,100.0,16.54,0.0,0
131,600.0,54.55,42.5,0.0,331.0,85.71,0.26,5.0,38.0,21.06,0.0,21.51,0.09,9.9,0.01,0
132,100.0,50.0,50.0,37.32,20.0,82.5,0.02,8.0,25.0,22.3,36.94,21.76,0.01,10.71,0.0,0
133,300.0,100.0,100.0,0.11,70.0,100.0,1.63,25.0,43.0,42.31,0.0,15.56,3.37,11.79,0.21,0
134,440.0,55.0,28.0,0.77,2908.0,79.52,6.44,22.0,41.0,13.45,0.3,22.67,2.05,10.84,0.16,0
135,350.0,87.5,75.0,0.0,331.0,54.55,0.0,9.0,41.0,6.95,0.0,11.6,0.0,13.22,0.0,0
136,170.0,24.29,20.0,0.0,0.0,70.0,0.0,4.0,28.0,100.0,0.0,16.25,0.0,0.0,0.0,1
138,410.0,51.25,40.0,13.07,33.0,91.04,1.75,10.0,19.0,21.12,12.98,30.93,1.73,5.75,0.05,0
139,700.0,50.0,50.0,0.0,459.0,100.0,3.15,17.0,46.0,15.0,0.0,26.07,1.34,8.96,0.18,0
141,580.0,29.0,27.5,0.0,148.0,98.61,56.55,34.0,16.0,36.11,0.0,21.94,55.32,8.63,0.88,0
143,430.0,86.0,76.67,0.0,127.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1
144,400.0,100.0,100.0,0.0,73.0,98.85,4.4,23.0,47.0,77.35,0.0,20.57,7.1,11.66,0.05,0
146,220.0,44.0,42.5,0.0,5.0,52.94,0.06,15.0,51.0,91.19,0.0,14.29,0.05,11.11,0.0,0
147,300.0,100.0,100.0,0.02,765.0,76.09,43.53,12.0,37.0,26.63,0.02,23.19,30.76,9.88,1.55,0
148,340.0,34.0,30.0,0.0,136.0,89.71,7.21,18.0,50.0,4.18,0.0,20.88,12.09,12.72,0.42,0
149,1060.0,34.19,32.22,0.03,473.0,92.75,23.82,21.0,48.0,7.42,0.03,23.75,27.04,8.47,1.9,0
150,500.0,71.43,60.0,262.74,349.0,76.71,18.94,19.0,38.0,19.4,117.06,23.09,14.09,9.06,0.94,0
151,450.0,50.0,50.0,0.0,77.0,41.03,0.32,19.0,45.0,12.24,0.0,22.47,0.19,11.76,0.0,0
153,50.0,50.0,50.0,0.0,1.0,97.44,3.98,24.0,17.0,30.69,0.0,21.03,2.8,10.63,0.01,0
154,480.0,40.0,35.71,0.0,51.0,100.0,45.23,17.0,50.0,54.63,0.0,28.35,44.12,10.57,0.3,0
156,230.0,38.33,38.33,0.0,37.0,94.12,1.45,30.0,30.0,55.37,0.0,24.21,0.47,9.0,0.03,0
157,300.0,100.0,100.0,1.47,944.0,83.78,15.6,17.0,44.0,19.15,1.47,26.3,17.36,8.86,0.69,0
158,70.0,17.5,15.0,0.0,78.0,96.2,78.11,19.0,32.0,15.8,0.0,36.05,83.28,13.71,0.02,0
159,400.0,100.0,100.0,0.57,76.0,98.65,0.32,18.0,37.0,24.02,0.57,22.69,0.19,10.2,0.01,0
160,600.0,21.43,20.0,0.0,418.0,91.67,0.0,21.0,28.0,52.63,0.0,15.1,0.0,14.64,0.0,0
161,180.0,20.0,10.0,0.0,59.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0
162,150.0,150.0,150.0,0.0,170.0,100.0,0.65,18.0,49.0,49.16,0.0,21.55,1.16,13.79,0.01,0
163,,,,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0
164,200.0,50.0,50.0,0.0,42.0,55.56,0.07,14.0,45.0,4.86,0.0,17.18,0.23,10.59,0.01,0
165,340.0,26.15,20.0,0.0,391.0,97.3,4.34,26.0,42.0,12.03,0.0,22.13,6.97,10.61,0.13,0
166,190.0,31.67,20.0,0.0,66.0,53.85,27.79,2.0,32.0,31.53,0.0,26.25,65.36,12.2,0.16,0
167,750.0,83.33,75.0,37.86,284.0,100.0,0.0,25.0,55.0,12.69,8.4,12.28,0.0,12.37,0.0,0
168,70.0,23.33,20.0,0.0,4.0,94.74,17.8,11.0,10.0,84.78,0.0,24.14,0.0,16.67,0.0,0
171,450.0,37.5,30.0,227.46,328.0,90.14,48.22,17.0,37.0,26.72,67.33,31.24,46.43,10.81,1.14,0
172,630.0,17.5,15.45,0.0,122.0,97.22,13.18,6.0,64.0,62.38,0.0,26.7,1.9,10.34,0.02,0
174,500.0,26.32,21.43,134.33,24.0,100.0,32.19,19.0,41.0,48.54,0.71,24.02,18.07,10.25,0.45,0
175,240.0,30.0,30.0,0.0,242.0,98.78,84.35,21.0,39.0,16.31,0.0,23.41,52.64,12.89,0.57,0
176,260.0,52.0,40.0,0.04,43.0,96.55,0.05,32.0,25.0,19.04,0.02,18.53,0.04,9.24,0.0,0
177,50.0,50.0,50.0,8.94,0.0,100.0,0.04,23.0,38.0,13.36,0.16,14.31,0.07,10.95,0.0,0
178,140.0,46.67,20.0,0.0,3.0,100.0,85.62,6.0,36.0,8.14,0.0,35.03,81.35,7.41,0.27,0
179,110.0,12.22,10.0,0.0,1.0,100.0,53.39,20.0,58.0,32.21,0.0,30.21,50.5,14.33,0.1,0
180,200.0,100.0,100.0,0.25,526.0,84.85,2.3,7.0,28.0,32.72,0.11,20.94,1.99,5.84,0.08,0
182,350.0,43.75,25.0,0.0,32.0,9.76,3.74,0.0,57.0,96.12,0.0,22.92,0.0,16.67,0.0,0
183,470.0,78.33,60.0,1.2,385.0,97.67,16.64,24.0,41.0,58.36,0.0,19.35,18.81,8.87,0.57,0
184,200.0,100.0,100.0,12.93,69.0,89.19,5.05,21.0,31.0,22.22,4.04,23.98,4.14,9.7,0.42,0
185,290.0,58.0,20.0,0.0,486.0,96.83,14.51,18.0,23.0,52.76,0.0,25.03,15.98,10.24,0.4,0
186,30.0,30.0,30.0,0.0,32.0,0.0,9.41,40.0,38.0,91.56,0.0,0.0,0.0,0.0,0.0,1
187,420.0,84.0,73.33,0.0,711.0,87.95,0.6,22.0,55.0,21.69,0.0,21.66,0.55,11.24,0.03,0
188,130.0,26.0,26.0,0.0,7.0,92.31,66.37,20.0,24.0,9.22,0.0,26.26,100.0,13.95,0.07,0
189,400.0,100.0,100.0,245.96,110.0,100.0,3.4,21.0,44.0,54.61,64.39,22.7,2.44,11.17,0.45,0
190,80.0,20.0,20.0,0.0,11.0,65.0,16.62,4.0,24.0,84.62,0.0,23.85,7.95,11.76,0.01,0
191,370.0,74.0,56.67,0.0,371.0,94.59,18.81,11.0,40.0,5.28,0.0,26.82,2.1,10.59,0.11,0
192,620.0,124.0,73.33,0.0,35.0,29.17,0.0,18.0,61.0,0.77,0.0,13.56,0.0,14.29,0.0,1
194,380.0,54.29,20.0,9.01,46.0,96.83,3.12,21.0,63.0,23.28,0.2,23.42,4.37,11.36,0.51,0
195,300.0,100.0,100.0,2.76,132.0,90.16,7.85,26.0,38.0,21.64,1.07,18.75,4.76,10.89,0.37,0
196,420.0,46.67,40.0,0.0,777.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1
197,620.0,77.5,73.33,32.1,160.0,79.41,0.2,17.0,52.0,33.29,1.53,20.22,0.13,9.39,0.01,0
198,200.0,100.0,100.0,0.0,8.0,23.53,0.0,0.0,82.0,0.0,0.0,0.0,,,,0
199,350.0,87.5,75.0,3.74,49.0,98.57,11.88,9.0,31.0,34.46,2.75,23.05,10.65,8.54,0.33,0
200,,,,0.0,0.0,94.74,1.9,27.0,37.0,98.82,0.0,15.64,17.48,14.47,0.0,0
201,300.0,100.0,100.0,0.22,465.0,100.0,0.09,20.0,46.0,42.64,0.22,15.4,6.97,13.95,0.74,0
202,450.0,26.47,23.75,0.0,11.0,98.61,15.02,6.0,43.0,68.42,0.0,25.31,14.96,9.59,0.02,0
203,690.0,10.15,10.0,0.0,119.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1
204,1400.0,100.0,83.33,53.44,15.0,100.0,8.77,16.0,31.0,31.09,0.01,24.21,6.46,9.7,0.91,0
205,400.0,100.0,100.0,0.0,100.0,100.0,0.24,18.0,60.0,65.25,0.0,26.8,1.65,13.18,0.09,0
206,300.0,50.0,50.0,0.0,128.0,91.49,19.24,22.0,44.0,77.26,0.0,27.61,10.89,13.64,0.07,0
207,370.0,61.67,20.0,0.0,145.0,96.2,0.25,23.0,40.0,18.64,0.0,25.23,0.21,12.54,0.02,0
208,450.0,75.0,66.67,0.68,164.0,87.27,15.79,25.0,30.0,20.92,0.65,26.84,13.33,8.63,0.88,0
209,30.0,30.0,30.0,0.0,6.0,86.21,0.42,24.0,48.0,32.19,0.0,15.95,0.0,16.46,0.0,0
211,500.0,100.0,100.0,104.03,309.0,93.75,3.3,4.0,33.0,35.85,46.85,22.96,0.57,10.26,0.03,0
212,150.0,50.0,50.0,0.0,0.0,100.0,1.75,15.0,57.0,85.09,0.0,25.56,0.05,12.5,0.0,0
213,430.0,86.0,65.0,0.0,100.0,5.56,0.0,0.0,31.0,0.0,0.0,16.67,0.0,0.0,0.0,1
214,400.0,100.0,100.0,9.48,625.0,97.01,9.93,19.0,46.0,33.05,9.48,24.7,5.48,8.9,0.46,0
215,50.0,50.0,50.0,0.0,44.0,100.0,2.54,21.0,33.0,9.47,0.0,21.74,4.76,7.69,0.03,0
216,400.0,44.44,37.5,0.0,363.0,96.08,2.31,22.0,40.0,47.16,0.0,27.15,2.88,12.39,0.06,0
217,200.0,100.0,100.0,0.0,34.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1
218,190.0,23.75,20.0,0.0,113.0,100.0,62.99,24.0,44.0,21.62,0.0,24.29,40.91,11.33,0.15,0
220,400.0,50.0,50.0,0.03,43.0,88.89,0.28,6.0,45.0,12.04,0.0,23.54,0.14,8.07,0.01,0
221,50.0,50.0,50.0,0.0,0.0,100.0,12.32,24.0,38.0,68.58,0.0,19.93,24.12,16.22,0.07,0
222,170.0,24.29,20.0,0.0,101.0,95.65,6.81,13.0,24.0,27.12,0.0,13.53,27.95,12.5,0.08,0
223,30.0,30.0,30.0,0.0,6.0,100.0,2.34,24.0,62.0,99.22,0.0,16.09,0.0,16.37,0.0,0
224,220.0,44.0,35.0,0.0,156.0,97.65,0.54,10.0,50.0,8.71,0.0,26.48,0.6,11.81,0.01,0
225,160.0,40.0,10.0,0.0,86.0,23.33,0.39,7.0,36.0,26.93,0.0,22.81,0.0,16.67,0.0,0
226,450.0,22.5,22.0,0.0,17.0,67.74,16.97,12.0,38.0,38.44,0.0,22.5,30.38,11.11,0.09,0
227,1880.0,55.29,50.0,3.5,380.0,100.0,4.48,22.0,46.0,8.06,3.5,24.38,4.47,9.7,0.67,0
229,130.0,43.33,40.0,0.0,73.0,100.0,2.16,22.0,53.0,11.25,0.0,21.1,5.51,12.26,0.1,0
230,100.0,50.0,50.0,0.0,118.0,70.37,42.05,17.0,43.0,13.55,0.0,25.3,47.6,10.0,6.63,1
231,,,,0.0,0.0,0.0,,0.0,100.0,0.0,0.0,0.0,,,,1
232,50.0,16.67,15.0,0.0,1.0,50.0,1.45,0.0,45.0,98.07,0.0,22.58,15.6,11.76,0.01,0
234,530.0,35.33,22.5,0.0,799.0,2.63,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0
235,250.0,50.0,50.0,0.0,8.0,12.5,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0
236,600.0,200.0,200.0,0.2,681.0,98.78,35.41,13.0,50.0,31.38,0.11,22.55,32.59,11.48,1.8,0
237,20.0,20.0,20.0,0.0,,,1.9,0.0,0.0,98.28,0.0,22.22,,,,0
238,140.0,35.0,30.0,0.0,0.0,100.0,73.29,2.0,44.0,10.0,0.0,25.41,5.87,15.0,0.0,0
239,160.0,40.0,40.0,0.0,85.0,95.0,58.85,20.0,37.0,39.02,0.0,25.35,48.93,15.04,0.09,1
240,550.0,50.0,50.0,0.0,109.0,100.0,8.12,6.0,40.0,46.38,0.0,25.32,4.6,8.44,0.08,0
241,700.0,58.33,50.0,24.74,52.0,97.62,0.0,23.0,18.0,32.89,9.31,11.96,0.0,10.94,0.0,0
242,,,,0.01,1.0,69.23,16.6,18.0,74.0,81.86,0.01,20.99,19.19,11.11,0.02,0
